Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,280.0,264.60321367499995,227.8594169999999,305.07583399999925,245.0,0.22259103223814056,0.0,280,280,280,300,300,300,310,310,310,310,310
POST,harvest_auto,613,0,5,8.179063975530264,2.3800839999807977,503.6379590000002,375.0,3.411207569049504,0.0,5,6,6,7,10,13,35,78,500,500,500
GET,recipes_search,1826,0,7,9.885894544359275,3.9421250000089003,295.96645899999976,27283.0,10.161280621671116,0.0,7,8,9,10,13,18,35,74,270,300,300
GET,recommendations_make_now,646,0,4,10.094525673374832,1.7506249999996726,184.80683300000013,2.0,3.59484517064597,0.0,4,7,9,10,13,26,91,120,180,180,180
POST,studio_create_constraint,1253,0,5,5.202619019951606,2.4385840000036296,40.694500000000744,241.0,6.972664084859753,0.0,5,5,6,6,8,9,12,15,26,41,41
POST,studio_create_session,1254,0,6,7.621213740829269,2.6734170000111135,238.31691700000056,112.0,6.978228860665706,0.0,6,6,7,8,10,13,19,51,230,240,240
POST,studio_generate,1253,0,18,19.25840406783684,9.729167000017469,113.9542919999883,549.0,6.972664084859753,0.0,18,20,21,22,25,28,32,35,110,110,110
GET,studio_summary,618,0,35,37.8158159239489,4.829292000000152,197.27937500002213,145.0097087378641,3.4390314480792714,0.0,35,38,41,43,49,61,86,100,200,200,200
GET,studio_versions,1252,0,12,12.54863045047959,5.405958000011424,299.5567499999998,551.0,6.9670993090538,0.0,12,13,14,14,16,17,19,22,82,300,300
,Aggregated,8755,0,8,13.644583131010757,1.7506249999996726,503.6379590000002,5935.9806967447175,48.71961218112301,0.0,8,12,15,17,25,35,52,91,300,500,500
