Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,10,0,140.0,152.64335820000002,101.8759170000001,187.4601250000001,245.0,0.16956544206302895,0.0,150,190,190,190,190,190,190,190,190,190,190
POST,harvest_auto,54,0,7,15.814916629630298,3.8907090000002142,374.6178330000001,375.0,0.9156533871403564,0.0,7,9,10,11,18,24,33,370,370,370,370
GET,recipes_search,151,0,12,13.547130251655632,5.05608400000046,108.23279099999894,27283.0,2.5604381751517375,0.0,12,13,14,15,18,25,45,70,110,110,110
GET,recommendations_make_now,56,0,7,12.844074375000215,3.0205000000051996,167.725291,2.0,0.9495664755529621,0.0,7,10,14,15,23,27,28,170,170,170,170
POST,studio_create_constraint,93,0,7,7.265542569892354,2.997875000001926,24.039500000000658,241.0,1.5769586111861693,0.0,7,8,8,8,11,13,17,24,24,24,24
POST,studio_create_session,93,0,8,9.12930875268773,3.8074579999971547,28.587250000001063,112.0,1.5769586111861693,0.0,8,10,10,11,16,18,25,29,29,29,29
POST,studio_generate,93,0,21,21.73046054838754,13.387124999997724,71.19758400000364,549.0,1.5769586111861693,0.0,21,23,24,25,26,30,44,71,71,71,71
GET,studio_summary,62,0,39,36.37771701612847,5.64720800000007,59.833541999999795,143.19354838709677,1.0513057407907795,0.0,40,45,46,48,52,55,55,60,60,60,60
GET,studio_versions,93,0,12,12.256478881720277,8.402792000000048,21.207167000000027,551.0,1.5769586111861693,0.0,12,13,13,14,14,17,18,21,21,21,21
,Aggregated,705,0,11,17.14361547234039,2.997875000001926,374.6178330000001,6080.215602836879,11.954363665443541,0.0,11,14,18,21,29,45,70,140,370,370,370
