Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,20,0,160.0,154.85078339999995,133.826167,169.3784999999999,245.0,0.16735784323312541,0.0,160,160,160,170,170,170,170,170,170,170,170
POST,harvest_auto,192,0,9,18.021988317708203,3.1683329999978582,680.5202079999999,375.0,1.6066352950380038,0.0,9,10,11,12,16,18,95,550,680,680,680
GET,recipes_search,625,0,13,14.277578281600011,4.434417000013013,120.73495799999989,27283.0,5.229932601035169,0.0,13,17,17,18,21,23,28,33,120,120,120
GET,recommendations_make_now,184,0,8,14.283060260869087,2.2991250000004015,155.85954199999998,2.0,1.5396921577447538,0.0,8,11,14,20,27,35,90,110,160,160,160
POST,studio_create_constraint,446,0,7,8.169406677130166,2.784249999997712,22.89829100000418,241.0,3.7320799040986965,0.0,7,10,11,12,13,14,16,17,23,23,23
POST,studio_create_session,446,0,10,10.2345532421524,3.3216249999981073,50.4545830000005,112.0,3.7320799040986965,0.0,10,12,13,13,15,20,24,28,50,50,50
POST,studio_generate,446,0,12,11.88111042152453,5.294665999997505,23.229749999998717,549.0,3.7320799040986965,0.0,12,13,14,14,16,17,18,19,23,23,23
GET,studio_summary,201,0,18,19.809093726368406,4.757750000000005,69.09854200000032,144.53731343283582,1.6819463244929103,0.0,18,24,26,27,29,33,35,37,69,69,69
GET,studio_versions,446,0,7,6.849031497757713,3.2229169999880014,13.406917000001073,551.0,3.7320799040986965,0.0,7,8,8,8,9,9,10,11,13,13,13
,Aggregated,3006,0,10,12.858364669993296,2.2991250000004015,680.5202079999999,5923.563872255489,25.15388383793875,0.0,10,12,14,15,19,24,31,83,170,680,680
