Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,300.0,303.86831470000004,280.9758330000003,380.82841700000006,245.0,0.6763740759350162,0.0,300,300,310,310,370,380,380,380,380,380,380
POST,harvest_auto,225,0,4,10.023712382222334,1.815750000005778,394.29075000000324,375.0,3.804604177134466,0.0,4,5,6,7,10,18,89,130,390,390,390
GET,recipes_search,625,0,7,10.103655529600063,3.586500000004378,310.913083,27283.0,10.568344936484628,0.0,7,8,9,10,13,18,37,100,310,310,310
GET,recommendations_make_now,200,0,4,11.327735214999995,1.508459000000073,371.87645799999956,2.0,3.381870379675081,0.0,4,7,8,10,18,60,96,110,370,370,370
POST,studio_create_constraint,395,0,4,4.8498177139240015,2.2324999999980832,83.2679169999997,241.0,6.679193999858285,0.0,4,5,6,6,8,9,15,18,83,83,83
POST,studio_create_session,395,0,5,7.752767088607661,2.13337499999966,313.9645830000002,112.0,6.679193999858285,0.0,5,6,7,7,9,13,27,68,310,310,310
POST,studio_generate,395,0,13,15.262060881012607,8.888375000005055,71.1527500000031,549.0,6.679193999858285,0.0,13,17,18,19,22,24,27,41,71,71,71
GET,studio_summary,199,0,24,26.78485489447261,4.63900000000006,108.53929200000012,143.28643216080403,3.3649610277767055,0.0,24,29,32,34,38,43,88,100,110,110,110
GET,studio_versions,395,0,8,9.235295911392534,5.2667500000040945,20.531750000003512,551.0,6.679193999858285,0.0,8,10,11,11,13,14,15,17,21,21,21
,Aggregated,2869,0,7,14.979108636110205,1.508459000000073,394.29075000000324,6186.440920181248,48.512930596439034,0.0,7,10,12,13,21,30,100,290,380,390,390
