Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,10,0,6,13.059170730412006,4.907667171210051,38.70391612872481,245.0,0.17050577820249999,0.0,6,11,14,35,39,39,39,39,39,39,39
POST,harvest_auto,49,0,7,25.799436342655397,4.527125041931868,546.1654579266906,375.0,0.83547831319225,0.0,7,11,13,20,39,48,550,550,550,550,550
GET,recipes_search,163,0,9,17.439936117720475,3.9596250280737877,282.34150004573166,4879.0,2.7792441847007496,0.0,9,12,13,15,32,52,120,170,280,280,280
GET,recommendations_make_now,52,0,95,233.36644955606272,53.0001251026988,1059.2889999970794,2.0,0.8866300466529999,0.0,100,250,290,380,550,900,960,1100,1100,1100,1100
POST,studio_create_constraint,79,0,9,14.769686238628022,3.7296670489013195,123.41016693972051,241.0,1.3469956477997498,0.0,9,11,13,18,23,58,84,120,120,120,120
POST,studio_create_session,79,0,8,16.482248445501245,4.183707991614938,216.8313751462847,112.0,1.3469956477997498,0.0,8,12,14,16,21,53,170,220,220,220,220
POST,studio_generate,79,0,9,16.758476805437027,5.135915940627456,190.28812483884394,549.0,1.3469956477997498,0.0,9,11,16,20,29,43,140,190,190,190,190
GET,studio_summary,52,0,17,35.65380605868995,7.719166111201048,356.5849589649588,148.69230769230768,0.8866300466529999,0.0,17,20,24,26,48,210,240,360,360,360,360
GET,studio_versions,79,0,6,8.980045330863964,2.5406661443412304,53.54662495665252,551.0,1.3469956477997498,0.0,6,7,9,9,17,27,52,54,54,54,54
,Aggregated,642,0,9,35.403073296049534,2.5406661443412304,1059.2889999970794,1462.1884735202493,10.946470960600498,0.0,9,14,19,24,69,150,360,550,1100,1100,1100
