Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,10,0,6,17.931583314202726,5.388749996200204,62.05787509679794,245.0,0.17337025287161698,0.0,8,8,28,45,62,62,62,62,62,62,62
POST,harvest_auto,59,0,7,15.864649010127632,3.631291911005974,498.603249900043,375.0,1.0228844919425402,0.0,7,7,8,8,13,17,28,500,500,500,500
GET,recipes_search,147,147,9,13.734973048423829,4.851124947890639,310.82366593182087,21.0,2.5485427172127695,2.5485427172127695,9,10,12,13,15,23,42,150,310,310,310
GET,recommendations_make_now,46,0,71,90.36791127721739,52.2983749397099,558.4407090209424,2.0,0.797503163209438,0.0,71,75,80,89,130,160,560,560,560,560,560
POST,studio_create_constraint,94,0,7,11.307841350146113,3.4900421742349863,296.8443331774324,241.0,1.6296803769931996,0.0,7,8,8,9,13,18,34,300,300,300,300
POST,studio_create_session,94,0,8,9.372107773781456,4.109875066205859,40.406708139926195,112.0,1.6296803769931996,0.0,8,8,9,11,16,20,40,40,40,40,40
POST,studio_generate,94,0,8,9.769046121831746,4.653583047911525,113.99887502193451,549.0,1.6296803769931996,0.0,8,9,10,10,12,15,20,110,110,110,110
GET,studio_summary,53,0,11,17.267760974442904,4.505874821916223,204.0301668457687,145.75471698113208,0.9188623402195699,0.0,11,14,15,16,21,30,82,200,200,200,200
GET,studio_versions,94,0,5,5.372350119014687,2.5975420139729977,12.395415920764208,551.0,1.6296803769931996,0.0,5,6,6,6,8,9,12,12,12,12,12
,Aggregated,691,147,8,16.749193744636887,2.5975420139729977,558.4407090209424,249.00289435600578,11.979884473428733,2.5485427172127695,8,9,11,12,23,68,110,160,560,560,560
