Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,270.0,272.142713475,247.09466700000004,295.76487499999973,245.0,0.1337772101351582,0.0,270,280,280,290,290,290,300,300,300,300,300
POST,harvest_auto,1032,0,5,7.519698201550606,2.3317079999998214,646.5777909999999,375.0,3.4514520214870816,0.0,5,6,6,7,9,12,20,66,520,650,650
GET,recipes_search,3054,0,7,9.638645371971268,3.984166000002176,289.47104100000007,27283.0,10.213889993819329,0.0,7,9,9,10,12,17,25,72,120,290,290
GET,recommendations_make_now,1053,0,5,10.781019778726776,1.6388339999977575,299.30299999999966,2.0,3.52168505680804,0.0,5,8,10,11,15,31,99,100,160,300,300
POST,studio_create_constraint,2139,0,5,5.5900561622252685,2.4011670000163576,109.18633400000033,241.0,7.1537363119775845,0.0,5,5,6,7,8,10,13,15,76,110,110
POST,studio_create_session,2139,0,6,7.277904185600687,2.6094999999912716,185.773792,112.0,7.1537363119775845,0.0,6,7,7,8,10,13,21,47,100,190,190
POST,studio_generate,2139,0,19,20.854442596540334,12.526540999999725,456.7374999999999,549.0,7.1537363119775845,0.0,19,21,22,23,26,29,34,38,450,460,460
GET,studio_summary,1076,0,35,37.6206962527881,5.043208000000021,160.38900000000922,145.4507434944238,3.5986069526357554,0.0,35,38,40,42,48,56,71,110,140,160,160
GET,studio_versions,2139,0,13,13.220944590930193,8.281374999995705,139.5087500000045,551.0,7.1537363119775845,0.0,13,14,14,15,16,18,20,22,110,140,140
,Aggregated,14811,0,9,13.525525853892367,1.6388339999977575,646.5777909999999,5873.044358922422,49.5343564827957,0.0,9,13,15,17,26,36,48,83,290,520,650
