Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,8,0,6,24.14942724999993,3.0284169999998944,63.89024999999998,245.0,0.2748165444637149,0.0,7,42,64,64,64,64,64,64,64,64,64
POST,harvest_auto,23,8,4300.0,3905.7628370869575,3.3353339999990794,8155.014250000001,505.82608695652175,0.7900975653331804,0.2748165444637149,4300,6000,6400,6500,6800,7500,8200,8200,8200,8200,8200
GET,recipes_search,20,0,7,203.44667080000016,2.781457999999404,1397.2135840000028,2.0,0.6870413611592873,0.0,8,72,260,330,1400,1400,1400,1400,1400,1400,1400
GET,recommendations_make_now,4,0,15,217.68843725000073,7.364208000002037,710.3925000000002,2.0,0.13740827223185745,0.0,140,140,710,710,710,710,710,710,710,710,710
POST,studio_create_constraint,17,0,6,7.215931352941185,5.075541000000072,16.874749999999494,241.0,0.5839851569853942,0.0,6,7,7,7,11,17,17,17,17,17,17
POST,studio_create_session,17,0,7,339.1570051176467,5.428958000001316,3318.9319590000005,112.0,0.5839851569853942,0.0,7,13,220,230,1500,3300,3300,3300,3300,3300,3300
POST,studio_generate,17,0,8,8.38241176470588,5.752417000000065,14.511125000000069,549.0,0.5839851569853942,0.0,8,9,9,9,10,15,15,15,15,15,15
GET,studio_summary,16,0,73,577.2808749375,6.3688749999997185,3519.158790999999,145.0625,0.5496330889274298,0.0,140,420,1000,1000,1400,3500,3500,3500,3500,3500,3500
GET,studio_versions,16,0,4,4.278445312499657,2.8527499999988493,6.1872499999999775,551.0,0.5496330889274298,0.0,4,5,5,5,6,6,6,6,6,6,6
,Aggregated,138,8,7,799.2841875362318,2.781457999999404,8155.014250000001,290.67391304347825,4.740585391999082,0.2748165444637149,8,29,230,430,3900,6400,6800,7500,8200,8200,8200
