Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770580319,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770580320,2,,Aggregated,0.000000,0.000000,64,64,64,64,64,64,64,64,64,64,64,4,0,12,36.756948,8.036833000000021,63.89024999999998,123.5
1770580321,4,,Aggregated,0.000000,0.000000,12,13,29,29,64,64,64,64,64,64,64,12,0,11,19.547316083333317,3.0284169999998944,63.89024999999998,215.16666666666666
1770580322,6,,Aggregated,0.000000,0.000000,11,15,29,64,72,140,140,140,140,140,140,17,0,11,27.369987764705876,3.0284169999998944,138.28279099999997,189.35294117647058
1770580323,8,,Aggregated,4.000000,0.000000,11,15,32,42,64,72,140,140,140,140,140,21,0,11,26.315833333333323,3.0284169999998944,138.28279099999997,176.8095238095238
1770580324,8,,Aggregated,6.000000,0.000000,10,15,32,42,72,140,3300,3300,3300,3300,3300,26,0,9,148.72890388461536,3.0284169999998944,3284.1079590000004,227.53846153846155
1770580325,8,,Aggregated,5.666667,0.000000,11,29,64,64,710,1000,3300,3300,3300,3300,3300,28,0,10,200.76946878571425,3.0284169999998944,3284.1079590000004,216.46428571428572
1770580326,8,,Aggregated,5.666667,0.000000,11,29,64,64,710,1000,3300,3300,3300,3300,3300,28,0,10,200.76946878571425,3.0284169999998944,3284.1079590000004,216.46428571428572
1770580327,8,,Aggregated,5.200000,0.000000,11,32,72,420,1500,4800,5500,5500,5500,5500,5500,40,0,10,482.0884948749998,2.781457999999404,5496.722167,261.775
1770580328,8,,Aggregated,4.000000,0.000000,8,15,64,140,1400,4800,5500,5600,5600,5600,5600,55,0,8,458.1596038363636,2.781457999999404,5607.770750000001,285.90909090909093
1770580329,8,,Aggregated,4.000000,0.000000,8,13,42,72,1000,3300,5500,5600,5600,5600,5600,64,0,7,395.85020968749996,2.781457999999404,5607.770750000001,291.140625
1770580330,8,,Aggregated,5.111111,0.000000,7,12,42,73,1000,3900,5500,5600,5600,5600,5600,74,0,7,399.5385338378378,2.781457999999404,5607.770750000001,303.13513513513516
1770580331,8,,Aggregated,5.111111,0.000000,7,13,64,73,1000,3900,5500,5600,5600,5600,5600,76,0,7,390.9954139736842,2.781457999999404,5607.770750000001,297.10526315789474
1770580332,8,,Aggregated,5.111111,0.000000,7,13,64,73,1000,3900,5500,5600,5600,5600,5600,76,0,7,390.9954139736842,2.781457999999404,5607.770750000001,297.10526315789474
1770580333,8,,Aggregated,6.500000,0.000000,8,15,72,140,1400,3900,5500,5600,5600,5600,5600,79,0,8,444.6542716708861,2.781457999999404,5607.770750000001,299.0126582278481
1770580334,8,,Aggregated,6.400000,0.000000,8,15,73,220,1500,4300,5500,5600,5600,5600,5600,80,0,8,492.7738667125001,2.781457999999404,5607.770750000001,304.65
1770580335,8,,Aggregated,5.900000,0.000000,8,29,92,230,1400,3900,5500,5600,5600,5600,5600,82,0,8,487.9465335853659,2.781457999999404,5607.770750000001,297.2682926829268
1770580336,8,,Aggregated,5.900000,0.000000,8,29,92,230,1400,3900,5500,5600,5600,5600,5600,82,0,8,487.9465335853659,2.781457999999404,5607.770750000001,297.2682926829268
1770580337,8,,Aggregated,5.400000,0.000000,8,32,140,330,1500,4300,5600,6000,6000,6000,6000,84,0,8,552.6083909166667,2.781457999999404,5972.935625,299.14285714285717
1770580338,8,,Aggregated,5.400000,0.000000,9,64,230,420,3900,5500,6400,6500,6500,6500,6500,87,0,9,698.6093075287356,2.781457999999404,6500.790209000002,307.7471264367816
1770580339,8,,Aggregated,5.400000,0.000000,9,64,230,420,3900,5500,6400,6500,6500,6500,6500,87,0,9,698.6093075287356,2.781457999999404,6500.790209000002,307.7471264367816
1770580340,8,,Aggregated,5.400000,0.000000,9,64,230,420,3900,5500,6400,6500,6500,6500,6500,87,0,9,698.6093075287356,2.781457999999404,6500.790209000002,307.7471264367816
1770580341,8,,Aggregated,5.400000,0.000000,9,64,230,420,3900,5500,6400,6500,6500,6500,6500,87,0,9,698.6093075287356,2.781457999999404,6500.790209000002,307.7471264367816
1770580342,8,,Aggregated,2.300000,0.000000,9,64,260,430,3900,5500,6400,6500,6500,6500,6500,88,1,9,721.4500805568182,2.781457999999404,6500.790209000002,304.79545454545456
1770580343,8,,Aggregated,1.800000,0.000000,9,73,420,1100,4300,6400,6600,8200,8200,8200,8200,96,1,9,953.0807491770832,2.781457999999404,8155.014250000001,319.4895833333333
1770580344,8,,Aggregated,1.800000,0.000000,9,73,420,1100,4300,6400,6600,8200,8200,8200,8200,96,1,9,953.0807491770832,2.781457999999404,8155.014250000001,319.4895833333333
