Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,320.0,335.17856984999986,253.80875000000015,486.3952090000003,245.0,0.13381964602744909,0.0,320,330,330,460,480,490,490,490,490,490,490
POST,harvest_auto,1041,0,5,8.823127643611338,2.137333000007402,586.183041,375.0,3.4826562878643625,0.0,5,7,7,8,10,13,29,85,400,590,590
GET,recipes_search,3169,0,8,11.117349987377764,3.8178750000099626,339.7852499999998,27283.0,10.601861456524654,0.0,8,10,11,12,15,20,35,78,260,340,340
GET,recommendations_make_now,1070,0,6,13.71982041495379,1.553333999993356,622.8587920000001,2.0,3.579675531234263,0.0,6,8,10,12,19,48,110,130,550,620,620
POST,studio_create_constraint,2041,0,5,6.405882134247608,2.311124999998526,250.73383299999995,241.0,6.828147438550589,0.0,5,6,7,7,9,12,16,22,160,250,250
POST,studio_create_session,2041,0,6,8.91093956687888,2.530083999999988,613.042917,112.0,6.828147438550589,0.0,6,7,8,9,12,16,39,69,250,610,610
POST,studio_generate,2041,0,16,16.93523249093577,7.250833000000512,109.74533400002429,549.0,6.828147438550589,0.0,16,17,19,20,23,26,29,35,110,110,110
GET,studio_summary,1010,0,27,29.163888258415508,3.9514169999996795,173.38820800000576,145.38811881188118,3.3789460621930894,0.0,27,30,33,35,41,48,61,79,120,170,170
GET,studio_versions,2041,0,10,10.675068705536228,3.4830000000027894,105.11566699995001,551.0,6.828147438550589,0.0,10,11,12,12,14,15,18,23,99,110,110
,Aggregated,14494,0,9,13.079404829584538,1.553333999993356,622.8587920000001,6207.710569890989,48.489548738046174,0.0,9,11,14,15,22,29,46,95,350,610,620
