Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771028722,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771028723,8,,Aggregated,0.000000,0.000000,34,290,290,290,290,290,290,290,290,290,290,17,0,34,147.6080587647059,6.300416000000086,293.47066699999993,6628.705882352941
1771028724,16,,Aggregated,0.000000,0.000000,24,280,290,290,330,330,330,400,400,400,400,52,0,24,119.41541900000007,3.8141250000001126,396.78791700000016,3928.5384615384614
1771028725,24,,Aggregated,0.000000,0.000000,34,120,250,290,330,330,330,400,400,400,400,85,0,34,111.32273724705887,3.1841670000001265,396.78791700000016,4407.023529411765
1771028726,32,,Aggregated,8.500000,0.000000,36,200,260,290,350,480,590,610,620,620,620,141,0,36,137.12406885106387,3.1841670000001265,622.8587920000001,4109.992907801418
1771028727,40,,Aggregated,21.333333,0.000000,32,120,250,290,330,470,550,610,620,620,620,193,0,32,123.45208528497412,3.1841670000001265,622.8587920000001,5178.958549222798
1771028728,40,,Aggregated,21.500000,0.000000,20,41,200,260,330,460,490,590,620,620,620,233,0,20,104.01248265236053,3.1841670000001265,622.8587920000001,5616.197424892704
1771028729,40,,Aggregated,28.200000,0.000000,15,34,89,240,320,380,490,590,620,620,620,280,0,15,89.34191263928574,3.166667000000345,622.8587920000001,5687.271428571428
1771028730,40,,Aggregated,35.000000,0.000000,13,28,45,120,320,340,480,550,620,620,620,328,0,13,77.87113642378053,2.9485410000003043,622.8587920000001,6216.057926829269
1771028731,40,,Aggregated,35.571429,0.000000,12,20,35,53,290,330,480,550,620,620,620,380,0,12,68.57292017105266,2.9485410000003043,622.8587920000001,5905.928947368421
1771028732,40,,Aggregated,37.875000,0.000000,12,18,33,41,290,330,480,490,620,620,620,421,0,12,63.1880858004751,2.9485410000003043,622.8587920000001,5937.216152019002
1771028733,40,,Aggregated,38.222222,0.000000,12,17,28,37,260,330,470,490,620,620,620,472,0,12,57.585985256355954,2.1123339999995494,622.8587920000001,6126.277542372882
1771028734,40,,Aggregated,39.400000,0.000000,11,16,23,33,250,330,470,490,620,620,620,527,0,11,52.84054419165087,2.1123339999995494,622.8587920000001,5930.855787476281
1771028735,40,,Aggregated,43.700000,0.000000,11,15,21,29,200,320,460,490,620,620,620,582,0,11,48.82620846391755,2.1123339999995494,622.8587920000001,5770.0
1771028736,40,,Aggregated,47.400000,0.000000,11,15,20,26,140,320,400,480,620,620,620,637,0,11,45.555776348508644,2.1123339999995494,622.8587920000001,5679.241758241758
1771028737,40,,Aggregated,47.900000,0.000000,10,14,19,24,98,290,380,480,620,620,620,681,0,10,43.22448028634363,2.1123339999995494,622.8587920000001,5647.635829662261
