Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,290.0,296.4637749750001,272.055584,354.5151670000002,245.0,0.13378986704191292,0.0,290,290,290,330,350,350,350,350,350,350,350
POST,harvest_auto,1025,0,5,16.504570600975615,2.1064999999964584,812.5283340000067,375.0,3.4283653429490184,0.0,5,6,8,9,15,72,170,230,680,810,810
GET,recipes_search,3089,0,8,18.675287197151164,3.988375000005817,725.8988330000022,27283.0,10.331922482311725,0.0,8,10,11,12,20,76,160,250,650,730,730
GET,recommendations_make_now,1039,0,5,15.9086246794993,1.6712500000011232,854.8415829999954,2.0,3.475191796413688,0.0,5,9,11,12,22,87,130,170,580,850,850
POST,studio_create_constraint,2098,0,5,6.1896173374642345,2.331333000000768,167.802542000004,241.0,7.017278526348333,0.0,5,6,7,7,9,12,18,27,110,170,170
POST,studio_create_session,2098,0,6,15.919384116777907,2.4215000000111786,686.790875000014,112.0,7.017278526348333,0.0,6,7,8,10,17,76,150,200,570,690,690
POST,studio_generate,2098,0,15,17.375978676358642,8.034041000001935,258.47766699999397,549.0,7.017278526348333,0.0,15,17,18,19,22,25,36,85,220,260,260
GET,studio_summary,1016,0,27,40.42700680413401,4.445125000000161,747.4555000000009,145.40649606299212,3.3982626228645882,0.0,27,31,35,38,52,100,200,290,710,750,750
GET,studio_versions,2097,0,10,11.196914257510523,4.536708000046019,252.17150000000288,551.0,7.013933779672285,0.0,10,11,11,12,13,15,20,54,180,250,250
,Aggregated,14600,0,9,17.149727087945237,1.6712500000011232,854.8415829999954,6018.425753424657,48.83330147029822,0.0,9,11,14,16,25,44,120,200,610,810,850
