Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771029031,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771029032,8,,Aggregated,0.000000,0.000000,270,270,270,270,360,400,400,400,400,400,400,19,0,270.0,165.9474013157895,10.937499999999822,398.21729200000004,4527.1578947368425
1771029033,16,,Aggregated,0.000000,0.000000,100,270,280,290,290,300,400,400,400,400,400,44,0,100.0,146.82342890909092,5.66412500000002,398.21729200000004,5806.204545454545
1771029034,24,,Aggregated,13.000000,0.000000,32,110,270,280,330,350,360,400,400,400,400,91,0,32,116.69952331868129,3.2467080000002646,398.21729200000004,5034.9010989010985
1771029035,32,,Aggregated,20.500000,0.000000,27,51,190,270,290,330,350,360,400,400,400,145,0,27,96.2252660551724,3.2467080000002646,398.21729200000004,5693.496551724138
1771029036,40,,Aggregated,26.333333,0.000000,24,51,110,270,290,330,350,360,400,400,400,197,0,24,89.05876688832483,2.6998340000004006,398.21729200000004,5501.4517766497465
1771029037,40,,Aggregated,31.000000,0.000000,15,28,66,110,290,290,350,350,400,400,400,253,0,15,71.35271043083002,2.2809160000001327,398.21729200000004,4996.857707509881
1771029038,40,,Aggregated,35.800000,0.000000,14,24,35,82,280,290,350,350,400,400,400,300,0,13,62.0820341233333,2.2809160000001327,398.21729200000004,4886.67
1771029039,40,,Aggregated,39.000000,0.000000,12,20,29,50,280,290,350,350,400,400,400,344,0,12,55.43302553197673,2.2809160000001327,398.21729200000004,5396.662790697675
1771029040,40,,Aggregated,38.857143,0.000000,11,18,27,32,270,290,330,350,400,400,400,389,0,11,50.274942231362424,2.2809160000001327,398.21729200000004,5568.030848329049
1771029041,40,,Aggregated,41.500000,0.000000,11,15,24,29,230,290,330,350,400,400,400,442,0,11,45.31067022398185,2.2809160000001327,398.21729200000004,5243.613122171946
1771029042,40,,Aggregated,40.333333,0.000000,10,15,23,27,120,290,330,350,400,400,400,490,0,10,42.37067922857139,2.2809160000001327,398.21729200000004,5255.167346938775
1771029043,40,,Aggregated,40.900000,0.000000,10,14,19,26,100,280,300,350,400,400,400,544,0,10,39.107616476102926,2.2809160000001327,398.21729200000004,5408.832720588235
1771029044,40,,Aggregated,45.000000,0.000000,10,14,18,24,93,280,290,350,400,400,400,595,0,10,36.610709364705876,2.2809160000001327,398.21729200000004,5604.221848739496
1771029045,40,,Aggregated,48.300000,0.000000,10,14,18,23,71,280,290,350,400,400,400,649,0,10,34.56523688906009,2.2809160000001327,398.21729200000004,5829.052388289677
1771029046,40,,Aggregated,48.900000,0.000000,10,14,17,22,55,280,290,350,400,400,400,699,0,10,32.78107234907011,2.2809160000001327,398.21729200000004,5782.2532188841205
1771029047,40,,Aggregated,49.200000,0.000000,10,14,17,21,50,270,290,330,400,400,400,741,0,10,31.899769659919055,2.2809160000001327,398.21729200000004,5872.461538461538
1771029048,40,,Aggregated,49.900000,0.000000,10,14,17,20,48,270,290,330,400,400,400,776,0,10,30.907393347938132,2.2809160000001327,398.21729200000004,5900.079896907217
1771029049,40,,Aggregated,48.100000,0.000000,10,14,17,19,35,270,290,330,400,400,400,823,0,10,29.839201889428903,2.2809160000001327,398.21729200000004,6006.275820170109
1771029050,40,,Aggregated,49.000000,0.000000,10,13,16,19,32,230,290,330,400,400,400,889,0,10,28.384989535433064,2.203500000000247,398.21729200000004,5857.507311586051
1771029051,40,,Aggregated,47.300000,0.000000,9,13,16,19,32,180,290,330,400,400,400,925,0,9,27.688702647567556,2.203500000000247,398.21729200000004,5932.713513513513
1771029052,40,,Aggregated,48.600000,0.000000,9,13,16,19,32,130,290,330,400,400,400,964,0,9,27.24445940352695,2.203500000000247,398.21729200000004,6068.59958506224
1771029053,40,,Aggregated,49.300000,0.000000,9,13,16,19,31,110,290,300,360,400,400,1008,0,9,26.559656028769812,2.203500000000247,398.21729200000004,6111.9672619047615
1771029054,40,,Aggregated,47.700000,0.000000,9,13,16,19,31,100,290,300,360,400,400,1059,0,9,25.94551006137862,2.203500000000247,398.21729200000004,6113.0132200188855
1771029055,40,,Aggregated,45.500000,0.000000,9,13,16,19,31,100,290,290,360,400,400,1107,0,9,25.319010943992733,2.203500000000247,398.21729200000004,6153.582655826558
1771029056,40,,Aggregated,46.300000,0.000000,9,13,16,18,30,100,290,290,360,400,400,1148,0,9,24.82016745818811,2.203500000000247,398.21729200000004,6109.218641114982
1771029057,40,,Aggregated,46.300000,0.000000,9,13,16,19,30,100,290,290,360,400,400,1197,0,9,24.313023871345024,2.203500000000247,398.21729200000004,6052.4068504594825
1771029058,40,,Aggregated,44.700000,0.000000,9,13,16,18,29,91,290,290,360,400,400,1244,0,9,23.784802647106112,2.203500000000247,398.21729200000004,6116.36575562701
1771029059,40,,Aggregated,46.200000,0.000000,9,13,16,18,29,88,290,290,360,400,400,1297,0,9,23.30121359521974,2.203500000000247,398.21729200000004,6192.013107170394
1771029060,40,,Aggregated,45.100000,0.000000,9,13,16,18,29,82,280,290,360,400,400,1332,0,9,23.177813867867886,2.203500000000247,398.21729200000004,6217.931681681682
1771029061,40,,Aggregated,45.800000,0.000000,9,13,16,18,28,80,280,290,360,400,400,1383,0,9,22.728033944323943,2.203500000000247,398.21729200000004,6233.683297180043
1771029062,40,,Aggregated,46.300000,0.000000,9,13,15,18,28,71,280,290,360,400,400,1424,0,9,22.416780947331464,2.203500000000247,398.21729200000004,6252.095505617977
1771029063,40,,Aggregated,44.900000,0.000000,9,13,15,18,28,70,280,290,360,400,400,1477,0,9,21.95800221800948,2.203500000000247,398.21729200000004,6202.643195666892
1771029064,40,,Aggregated,46.200000,0.000000,9,13,15,18,28,67,280,290,360,400,400,1517,0,9,21.735943876071197,2.203500000000247,398.21729200000004,6224.272247857613
1771029065,40,,Aggregated,46.800000,0.000000,9,13,15,18,28,66,280,290,360,400,400,1555,0,9,21.540915156270106,2.203500000000247,398.21729200000004,6304.550482315112
1771029066,40,,Aggregated,46.200000,0.000000,9,13,15,18,27,63,280,290,360,400,400,1596,0,9,21.238365228696775,2.203500000000247,398.21729200000004,6252.94298245614
1771029067,40,,Aggregated,45.000000,0.000000,9,13,15,18,27,51,280,290,360,400,400,1667,0,9,20.740907110377943,2.203500000000247,398.21729200000004,6145.713857228554
1771029068,40,,Aggregated,44.300000,0.000000,9,13,15,18,27,53,280,290,360,400,400,1703,0,9,20.63768141221375,2.203500000000247,398.21729200000004,6243.318261890781
1771029069,40,,Aggregated,45.600000,0.000000,9,12,15,17,27,50,280,290,360,400,400,1750,0,9,20.344348896571443,2.203500000000247,398.21729200000004,6330.343428571428
1771029070,40,,Aggregated,47.600000,0.000000,9,12,15,17,27,48,270,290,360,400,400,1807,0,9,20.01096213004983,2.203500000000247,398.21729200000004,6334.804648588822
1771029071,40,,Aggregated,45.600000,0.000000,9,12,15,17,27,48,270,290,360,400,400,1854,0,9,19.82264634412085,2.203500000000247,398.21729200000004,6444.259439050701
1771029072,40,,Aggregated,46.600000,0.000000,9,12,15,17,26,44,270,290,360,400,400,1899,0,9,19.61613769773567,2.203500000000247,398.21729200000004,6412.8141126908895
1771029073,40,,Aggregated,46.700000,0.000000,9,12,15,17,26,42,270,290,360,400,400,1951,0,9,19.36646430855975,2.203500000000247,398.21729200000004,6416.411071245515
1771029074,40,,Aggregated,46.900000,0.000000,9,12,14,17,26,41,270,290,360,400,400,1992,0,9,19.186871315261094,2.203500000000247,398.21729200000004,6439.9277108433735
1771029075,40,,Aggregated,47.000000,0.000000,9,12,15,17,26,44,270,290,350,400,400,2031,0,9,19.310583495814935,2.203500000000247,398.21729200000004,6547.732151649434
1771029076,40,,Aggregated,47.700000,0.000000,9,12,15,17,26,41,270,290,350,400,400,2087,0,9,19.131346448011552,2.203500000000247,398.21729200000004,6522.363200766651
1771029077,40,,Aggregated,48.800000,0.000000,9,12,15,17,26,39,250,290,350,400,400,2142,0,9,18.9016489052288,2.203500000000247,398.21729200000004,6438.324463118581
1771029078,40,,Aggregated,48.400000,0.000000,9,12,15,17,26,39,240,290,350,400,400,2188,0,9,18.713889720292528,2.203500000000247,398.21729200000004,6433.0626142595975
1771029079,40,,Aggregated,48.600000,0.000000,9,12,14,17,26,39,230,290,350,400,400,2229,0,9,18.620137056078974,2.203500000000247,398.21729200000004,6477.8752803947955
1771029080,40,,Aggregated,46.500000,0.000000,9,12,14,17,26,39,190,290,350,400,400,2275,0,9,18.443861610109913,2.203500000000247,398.21729200000004,6542.245274725275
1771029081,40,,Aggregated,48.800000,0.000000,9,12,14,17,26,38,180,290,350,400,400,2327,0,9,18.274961485603786,2.203500000000247,398.21729200000004,6484.154275891706
1771029082,40,,Aggregated,46.500000,0.000000,9,12,14,17,26,38,130,290,350,400,400,2365,0,9,18.16742243002116,2.203500000000247,398.21729200000004,6487.051585623679
1771029083,40,,Aggregated,48.000000,0.000000,9,12,14,17,25,37,130,290,350,400,400,2433,0,9,17.93412474558162,2.203500000000247,398.21729200000004,6437.503493629264
1771029084,40,,Aggregated,47.200000,0.000000,9,12,14,17,25,36,120,290,350,400,400,2471,0,9,17.84699646013764,2.203500000000247,398.21729200000004,6408.23269931202
1771029085,40,,Aggregated,47.600000,0.000000,9,12,14,17,25,36,120,290,350,400,400,2530,0,9,17.65642034071149,1.9972499999951765,398.21729200000004,6362.575494071146
1771029086,40,,Aggregated,47.500000,0.000000,9,12,14,16,25,36,120,290,350,400,400,2594,0,9,17.49489522359294,1.8177500000007285,398.21729200000004,6306.733616037009
1771029087,40,,Aggregated,47.900000,0.000000,9,12,14,16,25,35,120,280,350,400,400,2644,0,9,17.335078556732267,1.8177500000007285,398.21729200000004,6326.544629349471
1771029088,40,,Aggregated,50.800000,0.000000,9,12,14,16,24,35,110,280,350,400,400,2691,0,9,17.231693376068424,1.8177500000007285,398.21729200000004,6281.352657004831
1771029089,40,,Aggregated,48.700000,0.000000,9,12,14,16,24,35,120,280,350,400,400,2747,0,9,17.221801163451094,1.8177500000007285,398.21729200000004,6296.8551146705495
1771029090,40,,Aggregated,50.400000,0.000000,9,12,14,16,24,35,110,280,350,400,400,2780,0,9,17.183355290647533,1.8177500000007285,398.21729200000004,6312.611151079137
1771029091,40,,Aggregated,50.500000,0.000000,9,12,14,16,24,34,110,280,350,400,400,2837,0,9,17.04014516637298,1.8177500000007285,398.21729200000004,6286.955586887558
1771029092,40,,Aggregated,51.000000,0.000000,9,12,14,16,24,33,110,280,350,400,400,2885,0,9,16.947179217331072,1.8177500000007285,398.21729200000004,6337.2270363951475
1771029093,40,,Aggregated,50.200000,0.000000,9,12,14,16,24,33,110,280,350,400,400,2927,0,9,16.849910347454777,1.8177500000007285,398.21729200000004,6360.938845234028
