Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,610.0,651.5673802249997,544.4646659999996,804.489084,245.0,0.3350930916849712,0.0,620,710,720,800,800,800,800,800,800,800,800
POST,harvest_auto,399,0,6,14.753465315789436,2.559084000001377,1002.0342499999999,375.0,3.3425535895575877,0.0,6,7,9,10,13,21,73,330,1000,1000,1000
GET,recipes_search,1175,0,10,17.76459436595714,4.112417000001756,706.6620419999996,22881.0,9.84335956824603,0.0,10,11,13,14,19,30,120,210,650,710,710
GET,recommendations_make_now,411,0,6,12.536597849148679,1.6174170000020638,489.12125000000015,2.0,3.4430815170630793,0.0,6,8,10,12,17,29,83,120,490,490,490
POST,studio_create_constraint,841,0,6,8.093027954815723,2.334082999993825,112.67275000000066,241.0,7.04533225267652,0.0,6,7,8,9,11,17,42,53,110,110,110
POST,studio_create_session,841,0,7,13.45416677288952,2.586708000002602,633.4866249999998,112.0,7.04533225267652,0.0,7,8,10,11,15,24,73,180,630,630,630
POST,studio_generate,841,0,7,8.23562161593345,2.8732500000003824,54.13741600000055,549.0,7.04533225267652,0.0,7,8,9,9,12,17,33,40,54,54,54
GET,studio_summary,433,0,9,14.878704399538003,3.615250000000181,591.908042,144.66281755196306,3.6273827174898132,0.0,9,11,13,15,20,29,63,89,590,590,590
GET,studio_versions,841,0,4,4.901393026159407,1.583957999997665,40.74008299998866,551.0,7.04533225267652,0.0,4,5,5,6,7,10,18,23,41,41,41
,Aggregated,5822,0,7,16.074745285297166,1.583957999997665,1002.0342499999999,4866.0312607351425,48.77279949474756,0.0,7,9,10,11,16,24,77,410,800,1000,1000
