Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,340.0,343.4398050750001,300.5660409999999,406.3890410000006,245.0,0.13378371127199712,0.0,340,350,360,390,400,410,410,410,410,410,410
POST,harvest_auto,1078,0,6,9.274658181817633,2.7042499999936354,532.7918750000001,375.0,3.6054710187803223,0.0,6,7,8,8,10,14,25,53,400,530,530
GET,recipes_search,3094,0,10,12.212909749191876,4.720916999986002,340.7117079999997,27283.0,10.348170066888978,0.0,10,11,12,13,16,20,41,79,180,340,340
GET,recommendations_make_now,1021,0,6,12.85532439667073,1.9969999999887023,272.8409169999999,2.0,3.4148292302177263,0.0,6,9,12,14,19,30,100,120,210,270,270
POST,studio_create_constraint,2092,0,7,7.874883138145368,2.8359169999987444,169.24349999999987,241.0,6.996888099525449,0.0,7,7,8,9,11,14,20,36,110,170,170
POST,studio_create_session,2092,0,7,9.841546159655394,2.772041999989483,403.74054100000035,112.0,6.996888099525449,0.0,7,8,9,10,13,17,41,73,230,400,400
POST,studio_generate,2092,0,12,13.306443195028484,5.796833999994533,139.42058300000326,549.0,6.996888099525449,0.0,12,14,15,15,17,19,25,35,120,140,140
GET,studio_summary,1082,0,16,18.44506003234728,4.021791999999635,182.2228329999973,145.4260628465804,3.618849389907522,0.0,16,18,20,21,24,30,44,88,170,180,180
GET,studio_versions,2092,0,8,8.591620021032195,3.0927080000111573,112.70816700000097,551.0,6.996888099525449,0.0,8,9,9,10,11,13,17,22,61,110,110
,Aggregated,14683,0,9,12.087364706803609,1.9969999999887023,532.7918750000001,5995.145474358102,49.10865581516834,0.0,9,11,12,13,17,21,39,83,350,410,530
