Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,290.0,284.91721040000004,244.858167,358.0224169999999,245.0,0.13381931215120565,0.0,290,290,290,300,300,300,360,360,360,360,360
POST,harvest_auto,1060,0,6,9.516643711320501,2.358708000002707,531.8777090000001,375.0,3.54621177200695,0.0,6,7,8,9,11,14,22,72,490,530,530
GET,recipes_search,3136,0,9,10.96876172417111,3.90516699999921,280.68733300000036,22881.0,10.491434072654524,0.0,9,10,12,13,16,19,25,50,230,280,280
GET,recommendations_make_now,1034,0,6,9.095015659575008,1.8978329999868038,327.74270800000016,2.0,3.459229219108666,0.0,6,8,10,10,14,19,27,84,270,330,330
POST,studio_create_constraint,2091,0,6,6.373997112864545,2.676500000006854,35.085791999989624,241.0,6.995404542704276,0.0,6,7,7,8,10,11,14,16,28,35,35
POST,studio_create_session,2091,0,7,8.221504887613273,2.7129169999966507,270.87675000000024,112.0,6.995404542704276,0.0,7,8,9,10,12,15,20,28,93,270,270
POST,studio_generate,2091,0,9,9.297447332376478,4.2242500000000405,101.14704200000801,549.0,6.995404542704276,0.0,9,10,11,11,13,15,17,18,36,100,100
GET,studio_summary,1058,0,11,13.552881055766129,2.8154579999997154,187.0671659999994,145.38185255198488,3.5395208063993895,0.0,11,13,15,16,20,24,30,50,140,190,190
GET,studio_versions,2091,0,5,5.859944005260273,2.317083999997749,285.8925000000001,551.0,6.995404542704276,0.0,5,6,7,7,8,9,10,11,37,290,290
,Aggregated,14692,0,7,9.654156128233012,1.8978329999868038,531.8777090000001,5129.06486523278,49.15183335313784,0.0,7,9,10,11,13,17,23,37,290,490,530
