Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,330.0,324.16374594999996,252.11183299999996,415.3867500000006,245.0,0.33518465278980114,0.0,330,330,340,390,390,390,420,420,420,420,420
POST,harvest_auto,420,0,6,10.615654759523919,2.5917090000007192,374.8955840000008,375.0,3.519438854292912,0.0,6,7,8,9,12,26,59,130,370,370,370
GET,recipes_search,1210,0,8,12.655833717355149,4.19179099999667,267.63470799999567,27283.0,10.139335746891485,0.0,9,10,12,13,17,24,73,110,260,270,270
GET,recommendations_make_now,444,0,6,16.015616457206836,2.0148750000004156,346.24745799999965,2.0,3.7205496459667926,0.0,6,9,11,13,22,90,140,160,350,350,350
POST,studio_create_constraint,831,0,5,7.513308812274423,2.349833000003798,296.83766699999836,241.0,6.963461161708119,0.0,5,6,7,8,11,13,24,49,300,300,300
POST,studio_create_session,831,0,6,9.707647754512934,2.650750000000812,284.53950000000015,112.0,6.963461161708119,0.0,6,8,9,10,13,17,51,100,280,280,280
POST,studio_generate,831,0,13,15.5057001058965,7.11208299999555,138.77879100000712,549.0,6.963461161708119,0.0,13,15,17,18,21,24,31,47,140,140,140
GET,studio_summary,380,0,22,28.90449230789434,3.2984579999997266,384.543457999996,144.57105263157894,3.184254201503111,0.0,22,26,29,32,40,50,110,270,380,380,380
GET,studio_versions,831,0,9,10.013774546329707,3.7576670000021295,138.93687499999885,551.0,6.963461161708119,0.0,9,10,10,11,13,15,22,35,140,140,140
,Aggregated,5818,0,8,14.841977099003028,2.0148750000004156,415.3867500000006,5920.075283602612,48.752607748276574,0.0,8,11,13,15,21,30,90,200,390,420,420
