Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,250.0,258.05197495,234.97558399999997,289.772916,245.0,0.13363185622259532,0.0,250,260,270,290,290,290,290,290,290,290,290
POST,harvest_auto,1036,0,6,8.155851084942142,2.175958999998784,442.83874999999995,375.0,3.4610650761652186,0.0,6,7,8,9,12,14,22,48,110,440,440
GET,recipes_search,3133,0,9,11.462931200766114,4.569290999999254,208.02125000000026,27283.0,10.466715138634779,0.0,9,10,12,13,17,22,30,69,130,210,210
GET,recommendations_make_now,1036,0,6,11.249142370656115,1.9501660000003085,260.57354099999986,2.0,3.4610650761652186,0.0,6,9,11,12,18,27,96,100,220,260,260
POST,studio_create_constraint,2004,0,6,6.402978176646993,2.633250000002363,120.55079199999952,241.0,6.694955996752025,0.0,6,7,7,8,10,12,13,16,80,120,120
POST,studio_create_session,2004,0,7,8.758247914670788,2.5772919999837995,267.6319999999999,112.0,6.694955996752025,0.0,7,8,9,10,13,16,24,38,140,270,270
POST,studio_generate,2004,0,13,13.528163240518785,6.6330000000220934,103.78420800000754,549.0,6.694955996752025,0.0,13,14,15,16,18,19,21,23,32,100,100
GET,studio_summary,1034,0,20,21.97343718375245,4.401291999999835,94.80770899999769,145.41392649903287,3.454383483354089,0.0,20,22,25,26,32,37,42,45,91,95,95
GET,studio_versions,2004,0,8,8.630022516467589,4.084917000000132,100.66512500000613,551.0,6.694955996752025,0.0,8,9,10,10,11,12,13,15,91,100,100
,Aggregated,14295,0,8,11.461885348863353,1.9501660000003085,442.83874999999995,6221.7685204617,47.75668461755,0.0,8,11,12,14,18,22,33,63,260,290,440
