Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,260.0,259.835937475,235.324333,284.22999999999996,245.0,0.6754716322214993,0.0,260,270,270,280,280,280,280,280,280,280,280
POST,harvest_auto,222,0,7,8.967831702702846,2.9262919999997195,100.49995900000397,375.0,3.748867558829321,0.0,7,8,9,10,14,17,30,54,100,100,100
GET,recipes_search,573,0,10,12.786478036649221,4.5760000000001355,207.41074999999998,27283.0,9.676131131572976,0.0,10,11,13,14,18,24,32,70,210,210,210
GET,recommendations_make_now,244,0,7,13.42676896721308,1.7493749999992758,120.24074999999979,2.0,4.120376956551145,0.0,7,11,13,15,22,34,100,120,120,120,120
POST,studio_create_constraint,408,0,6,7.430198558823519,3.035958999999977,98.60662499999506,241.0,6.889810648659292,0.0,6,7,8,8,11,13,19,24,99,99,99
POST,studio_create_session,410,0,7,9.172278643902333,3.105458000000283,85.29174999999967,112.0,6.923584230270367,0.0,7,9,10,11,15,17,24,42,85,85,85
POST,studio_generate,408,0,11,11.799091588235251,5.787749999999647,102.40162499999883,549.0,6.889810648659292,0.0,11,13,13,14,15,17,22,24,100,100,100
GET,studio_summary,191,0,15,20.067053685864067,4.632915999998488,283.4085420000001,143.25130890052355,3.225377043857659,0.0,15,18,20,23,28,32,72,210,280,280,280
GET,studio_versions,408,0,7,7.655977313725641,3.326749999999379,230.46658399999976,551.0,6.889810648659292,0.0,7,8,8,9,10,11,13,14,230,230,230
,Aggregated,2904,0,9,14.307751481405,1.7493749999992758,284.22999999999996,5629.168732782369,49.03924049928085,0.0,9,10,12,13,17,24,97,250,280,280,280
