Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,250.0,297.8812521,233.87454100000005,402.575417,245.0,0.13337342534951452,0.0,250,360,370,390,400,400,400,400,400,400,400
POST,harvest_auto,1063,0,5,7.8201484252115385,2.3716249999949923,440.3766250000001,375.0,3.5443987786633486,0.0,5,6,7,7,9,13,27,83,190,440,440
GET,recipes_search,3069,0,8,10.468888273704954,3.813125000000639,395.805958,27283.0,10.233076059941501,0.0,8,9,10,11,14,19,36,80,200,400,400
GET,recommendations_make_now,1080,0,5,10.347294662036559,1.4604579999968337,337.7306659999997,2.0,3.6010824844368923,0.0,5,7,9,10,14,30,93,110,170,340,340
POST,studio_create_constraint,2148,0,5,5.9319485237425935,2.3598340000035023,125.5288339999936,241.0,7.16215294126893,0.0,5,6,6,7,9,11,16,20,120,130,130
POST,studio_create_session,2148,0,6,8.19815836685304,2.514582999999959,404.483833,112.0,7.16215294126893,0.0,6,7,8,8,11,14,30,73,180,400,400
POST,studio_generate,2148,0,15,16.801518128026128,8.060790999998346,369.51283299999994,549.0,7.16215294126893,0.0,15,17,19,19,23,26,30,36,120,370,370
GET,studio_summary,1046,0,27,31.160396625239002,3.5197079999997882,209.93016700003864,145.40630975143404,3.487715072889805,0.0,27,31,34,36,43,54,94,110,170,210,210
GET,studio_versions,2148,0,10,10.150172049813708,4.053708000014922,84.93558299998938,551.0,7.16215294126893,0.0,10,11,12,12,14,15,18,20,61,85,85
,Aggregated,14890,0,8,12.382111429147104,1.4604579999968337,440.3766250000001,5870.735460040296,49.648257586356785,0.0,8,11,13,15,22,29,46,86,370,400,440
