Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,320.0,320.10030930000005,295.4583340000001,348.9539589999997,245.0,0.2227838528586691,0.0,320,330,330,340,350,350,350,350,350,350,350
POST,harvest_auto,621,0,5,10.571917418679869,1.9743329999926118,558.10075,375.0,3.458719315630838,0.0,5,6,7,8,11,17,49,110,560,560,560
GET,recipes_search,1908,0,8,11.554776846960024,3.5290409999930716,334.3993329999999,27283.0,10.626789781358516,0.0,8,9,11,12,16,24,63,88,320,330,330
GET,recommendations_make_now,604,0,5,13.514539410596669,1.4365840000039043,335.3172079999993,2.0,3.3640361781659034,0.0,5,8,10,11,20,66,110,150,340,340,340
POST,studio_create_constraint,1239,0,5,6.462842419693488,2.2991670000038766,88.18249999998784,241.0,6.900729842297276,0.0,5,6,7,7,10,14,24,37,64,88,88
POST,studio_create_session,1240,0,6,10.977617499193789,2.234665999999663,332.92466700000034,112.0,6.906299438618742,0.0,6,7,9,10,14,26,83,110,300,330,330
POST,studio_generate,1238,0,19,21.38273329806132,10.793875000004505,210.35562500000538,549.0,6.895160245975809,0.0,19,21,23,24,28,35,56,97,140,210,210
GET,studio_summary,630,0,36,40.60450021428556,4.344041999999604,369.55795800000146,145.0,3.5088456825240386,0.0,36,40,42,45,58,75,130,140,370,370,370
GET,studio_versions,1238,0,12,13.122206487076065,6.791167000002929,150.90983300001426,551.0,6.895160245975809,0.0,12,13,14,15,16,20,30,40,93,150,150
,Aggregated,8758,0,9,15.927851925439697,1.4365840000039043,558.10075,6187.540077643298,48.7785245834056,0.0,9,13,16,19,29,41,80,130,350,560,560
