Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,280.0,287.5745677,266.7075409999997,312.63191700000004,245.0,0.13373836177955323,0.0,280,310,310,310,310,310,310,310,310,310,310
POST,harvest_auto,984,0,5,8.84048319308928,2.4012500000196724,465.031375,375.0,3.2899636997770094,0.0,5,6,7,7,10,14,58,98,470,470,470
GET,recipes_search,3109,0,8,11.414340335156211,3.660457999984601,485.5341249999867,27283.0,10.394814169315774,0.0,8,9,10,11,14,20,54,96,340,490,490
GET,recommendations_make_now,999,0,5,12.63587904504502,1.3597500000059881,507.21729199997867,2.0,3.340115585444342,0.0,5,8,10,11,18,57,110,140,510,510,510
POST,studio_create_constraint,2110,0,5,5.818524644549589,2.3046669999757796,107.92608300000018,241.0,7.054698583871432,0.0,5,6,6,7,8,11,15,20,91,110,110
POST,studio_create_session,2110,0,6,9.026347858294026,2.35737500003097,485.4854579999994,112.0,7.054698583871432,0.0,6,7,8,8,11,17,46,80,410,490,490
POST,studio_generate,2110,0,16,17.42557096161173,7.845833000004632,525.2842090000058,549.0,7.054698583871432,0.0,16,18,19,20,22,26,33,44,180,530,530
GET,studio_summary,1071,0,28,32.8795595471526,3.909916999999652,530.3728750000118,145.375350140056,3.5808446366475373,0.0,28,32,34,36,42,51,91,140,400,530,530
GET,studio_versions,2110,0,10,10.713107238388668,4.0495419999899696,264.6480000000002,551.0,7.054698583871432,0.0,10,11,12,12,14,16,20,25,110,260,260
,Aggregated,14643,0,8,13.263794693437351,1.3597500000059881,530.3728750000118,6038.73331967493,48.958270788449944,0.0,8,11,13,15,22,31,53,100,330,530,530
