Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771031768,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771031769,8,,Aggregated,0.000000,0.000000,31,34,270,270,270,270,470,470,470,470,470,27,0,31,110.86666207407406,4.878166000000017,465.031375,4300.444444444444
1771031770,16,,Aggregated,0.000000,0.000000,31,270,270,270,280,280,470,470,470,470,470,49,0,31,112.54660199999998,4.878166000000017,465.031375,5798.326530612245
1771031771,24,,Aggregated,27.000000,0.000000,31,110,270,270,280,310,310,470,470,470,470,92,0,30,105.4795257608695,4.878166000000017,465.031375,4971.260869565217
1771031772,32,,Aggregated,27.000000,0.000000,22,92,270,270,280,310,310,310,470,470,470,128,0,21,99.80710249218745,3.5907920000002314,465.031375,4490.15625
1771031773,40,,Aggregated,29.666667,0.000000,21,62,240,270,300,310,310,330,470,470,470,184,0,20,92.80739533695645,3.5907920000002314,465.031375,4379.711956521739
1771031774,40,,Aggregated,29.666667,0.000000,20,36,120,270,280,310,310,310,470,470,470,215,0,20,84.26722555348829,3.5907920000002314,465.031375,5175.288372093023
1771031775,40,,Aggregated,36.400000,0.000000,16,30,81,120,280,310,310,310,470,470,470,256,0,16,72.06192690234369,2.891791999999782,465.031375,5340.28125
1771031776,40,,Aggregated,36.400000,0.000000,13,21,34,92,270,310,310,310,470,470,470,303,0,13,62.359135986798655,2.891791999999782,465.031375,5363.792079207921
1771031777,40,,Aggregated,36.142857,0.000000,11,19,30,52,270,300,310,310,470,470,470,354,0,11,54.50339063276831,2.6620000000008304,465.031375,5246.225988700565
1771031778,40,,Aggregated,37.875000,0.000000,10,16,23,32,270,280,310,310,470,470,470,409,0,10,48.37556060635691,2.6620000000008304,465.031375,4979.264058679707
1771031779,40,,Aggregated,39.222222,0.000000,10,14,21,28,220,280,310,310,470,470,470,470,0,10,43.2158900765957,2.607459000000034,465.031375,5177.561702127659
1771031780,40,,Aggregated,39.222222,0.000000,9,14,19,25,120,280,310,310,470,470,470,522,0,9,39.7469133984674,2.607459000000034,465.031375,5155.222222222223
