Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,310.0,304.0909208250001,245.43316599999997,361.85683300000005,245.0,0.13342646232577576,0.0,310,310,310,350,360,360,360,360,360,360,360
POST,harvest_auto,1028,0,5,7.636154543774399,2.251000000001113,409.75895900000125,375.0,3.4290600817724366,0.0,5,6,7,7,9,12,25,78,350,410,410
GET,recipes_search,3104,0,7,9.640611797680034,4.140249999977641,275.86995799999994,27283.0,10.353893476480199,0.0,7,9,10,10,13,17,29,66,120,280,280
GET,recommendations_make_now,1047,0,4,10.082540360076354,1.4972090000071603,173.7757499999999,2.0,3.4924376513771804,0.0,4,7,9,10,15,30,93,100,140,170,170
POST,studio_create_constraint,2076,0,5,5.5155145573217625,2.19200000000086,93.93795900001578,241.0,6.924833394707761,0.0,5,5,6,7,9,10,14,17,46,94,94
POST,studio_create_session,2076,0,5,7.723722862716463,2.4650410000006673,353.7619999999997,112.0,6.924833394707761,0.0,5,6,7,8,11,13,26,68,130,350,350
POST,studio_generate,2076,0,19,20.139794499518118,11.499291999999883,109.89041700000257,549.0,6.924833394707761,0.0,19,21,22,23,27,30,34,40,110,110,110
GET,studio_summary,1070,0,33,34.93273660934638,3.873916999999949,176.96633299999576,145.4841121495327,3.5691578672145012,0.0,33,36,39,40,46,55,65,78,130,180,180
GET,studio_versions,2076,0,12,12.734431891618675,7.510666000030142,107.70183399999667,551.0,6.924833394707761,0.0,12,13,14,14,15,17,20,23,95,110,110
,Aggregated,14593,0,8,13.266913007948867,1.4972090000071603,409.75895900000125,6047.825806893717,48.67730911800114,0.0,8,12,15,17,26,34,47,79,310,360,410
