Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,130.0,258.80081784999993,7.7587500000000365,832.4126669999998,245.0,0.13369469233071693,0.0,130,180,540,550,830,830,830,830,830,830,830
POST,harvest_auto,950,875,5,451.2617845115791,1.7629159999899002,9621.930542000002,96.0,3.175248942854527,2.924571394734433,5,8,17,48,950,4200,5800,6400,9600,9600,9600
GET,recipes_search,2786,0,5,110.16676061988531,1.724666000001207,4235.491542000005,2.0,9.311835320834435,0.0,5,8,16,35,210,760,1500,2000,3500,4200,4200
GET,recommendations_make_now,935,0,6,130.79822531550835,2.1451249999984157,3083.291083000006,2.0,3.1251134332305086,0.0,6,11,23,48,320,960,1900,2200,3100,3100,3100
POST,studio_create_constraint,1897,0,6,38.00288936056924,2.7205829999843445,2609.060083000003,241.0,6.340470783784251,0.0,6,8,12,16,46,100,430,790,2300,2600,2600
POST,studio_create_session,1897,0,7,106.77679488666318,2.532291999983727,4220.368832999995,112.0,6.340470783784251,0.0,7,11,22,43,170,680,1400,2000,3800,4200,4200
POST,studio_generate,1897,0,7,39.956462979441504,3.2767920000082995,4103.934124999995,549.0,6.340470783784251,0.0,7,9,11,14,32,78,150,820,4100,4100,4100
GET,studio_summary,942,0,83,191.43828202760068,7.806166000001724,4046.9298750000034,150.30891719745222,3.148510004388384,0.0,83,110,140,180,330,810,1500,2500,4000,4000,4000
GET,studio_versions,1897,0,4,14.323418977860317,1.9345409999971253,1309.5358340000005,551.0,6.340470783784251,0.0,4,5,6,6,11,19,69,350,1300,1300,1300
,Aggregated,13241,875,6,107.71259893640965,1.724666000001207,9621.930542000002,227.05037383883393,44.25628552877558,2.924571394734433,6,9,18,31,110,440,1300,2300,6100,9600,9600
