Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770581791,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770581792,8,,Aggregated,0.000000,0.000000,20,25,140,150,170,170,180,180,180,180,180,24,0,20,61.050176958333346,5.818208999999963,178.44808300000003,269.625
1770581793,16,,Aggregated,0.000000,0.000000,15,25,48,60,140,170,170,180,180,180,180,51,0,15,42.16673121568628,3.9972090000000016,178.44808300000003,256.70588235294116
1770581794,24,,Aggregated,0.000000,0.000000,24,46,130,160,800,830,2700,2700,2700,2700,2700,99,0,24,177.73603954545462,3.4511250000002214,2688.352667,272.5959595959596
1770581795,32,,Aggregated,14.500000,0.000000,25,52,93,140,510,830,830,2700,2700,2700,2700,119,0,25,157.6277311176471,3.4511250000002214,2688.352667,259.2689075630252
1770581796,40,,Aggregated,17.333333,0.000000,27,92,220,510,830,1000,2700,3500,3500,3500,3500,172,0,26,261.10211778488366,3.4511250000002214,3531.4485839999998,258.5174418604651
1770581798,40,,Aggregated,24.750000,0.000000,30,110,350,540,850,1300,3400,3500,4200,4200,4200,178,0,28,311.2141402640449,3.4511250000002214,4231.052917,257.2191011235955
1770581799,40,,Aggregated,23.800000,0.000000,42,140,500,550,970,1200,2700,3500,4200,4200,4200,228,0,42,323.0764240175437,3.285458000000574,4231.052917,255.74122807017545
1770581800,40,,Aggregated,23.800000,0.000000,42,140,500,550,970,1200,2700,3500,4200,4200,4200,228,0,42,323.0764240175437,3.285458000000574,4231.052917,255.74122807017545
1770581801,40,,Aggregated,25.428571,0.000000,48,320,720,830,1200,1800,3500,4200,5400,5400,5400,283,2,48,444.1326363604238,3.285458000000574,5437.341334000001,251.97173144876325
1770581802,40,,Aggregated,25.428571,0.000000,48,320,720,830,1200,1800,3500,4200,5400,5400,5400,283,2,48,444.1326363604238,3.285458000000574,5437.341334000001,251.97173144876325
1770581803,40,,Aggregated,25.428571,0.000000,48,320,720,830,1200,1800,3500,4200,5400,5400,5400,283,2,48,444.1326363604238,3.285458000000574,5437.341334000001,251.97173144876325
1770581804,40,,Aggregated,28.300000,0.200000,60,540,950,1000,1600,2100,4200,5700,6400,6400,6400,346,7,60,586.085756404624,3.285458000000574,6433.007833,253.51734104046244
