Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,160.0,209.83652294999996,5.697875000000074,728.4652919999992,245.0,0.13366406013207724,0.0,160,210,260,410,720,730,730,730,730,730,730
POST,harvest_auto,917,842,9,445.4278422104682,1.7776250000025584,7736.951791999999,53.653217011995636,3.0642485785278706,2.813628465780226,9,33,60,88,720,4000,5700,6300,7700,7700,7700
GET,recipes_search,2728,0,9,114.72246728885631,1.8511669999980995,3077.7673749999985,2.0,9.115888901007668,0.0,9,36,63,89,310,670,1200,1600,3000,3100,3100
GET,recommendations_make_now,898,0,11,135.0997165378619,2.5055420000228423,3119.4773330000007,2.0,3.000758149965134,0.0,11,44,74,110,320,910,1600,2000,3100,3100,3100
POST,studio_create_constraint,1823,0,8,82.9387554574877,2.8096659999903295,3409.6414999999924,241.0,6.09173954051942,0.0,8,17,37,71,140,330,960,1800,3200,3400,3400
POST,studio_create_session,1823,0,12,157.6614724904004,2.8119160000130705,3399.6811670000116,112.0,6.09173954051942,0.0,12,48,87,130,400,990,1700,2100,3300,3400,3400
POST,studio_generate,1823,0,10,55.361430250685856,3.641665999992938,3930.701749999999,549.0,6.09173954051942,0.0,10,15,27,43,93,180,460,980,3600,3900,3900
GET,studio_summary,903,1,220.0,380.73660657918026,52.27362499999799,3434.2510409999995,151.83167220376524,3.017466157481644,0.003341601503301931,220,280,360,400,770,1500,2100,2400,3400,3400,3400
GET,studio_versions,1823,0,5,19.76170519363685,1.9748340000091957,1700.5524170000115,551.0,6.09173954051942,0.0,5,6,7,9,28,80,150,270,1300,1700,1700
,Aggregated,12778,843,9,138.55862229183006,1.7776250000025584,7736.951791999999,223.2098137423697,42.698984009192074,2.816970067283528,9,32,72,110,270,600,1500,2300,6300,7400,7700
