Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,99,193.62033750000003,7.736332999999984,748.7888750000002,245.0,0.1336755351103328,0.0,100,180,210,540,650,750,750,750,750,750,750
POST,harvest_auto,799,0,110.0,301.15791996495625,3.5839999999893735,2542.345541,656.0,2.6701688138288975,0.0,110,260,410,540,830,1300,1800,2000,2500,2500,2500
GET,recipes_search,2339,0,85,245.07646733048352,1.9101670000019055,2775.285624999981,2.0,7.816676915576711,0.0,85,230,350,440,700,940,1400,1700,2200,2800,2800
GET,recommendations_make_now,793,0,130.0,303.7482941147548,2.4160000000001958,2703.703166999958,2.0,2.6501174835623478,0.0,130,310,450,520,800,1100,1700,1900,2700,2700,2700
POST,studio_create_constraint,1591,0,25,198.81974237774983,3.0945830000064234,2400.2519580000126,241.0,5.316944409013487,0.0,25,140,260,350,600,930,1300,1600,2300,2400,2400
POST,studio_create_session,1591,0,110.0,326.61119435323695,3.072250000002441,3524.1816669999935,112.0,5.316944409013487,0.0,110,270,450,570,930,1400,2000,2200,2900,3500,3500
POST,studio_generate,1590,0,21,157.56631962264163,4.476959000001557,3551.6840409999872,549.0,5.313602520635729,0.0,21,100,160,210,440,730,1200,1700,2900,3600,3600
GET,studio_summary,804,0,690.0,845.5284798855724,222.04283300000327,3138.2799579999983,152.0,2.6868782557176893,0.0,690,900,1100,1200,1600,2100,2400,2600,3100,3100,3100
GET,studio_versions,1590,0,7,65.78987952578582,2.2804999999834763,1702.3614160000022,551.0,5.313602520635729,0.0,7,13,47,97,190,330,630,780,1500,1700,1700
,Aggregated,11137,0,74,263.3903313894228,1.9101670000019055,3551.6840409999872,266.9515129747688,37.21861086309441,0.0,74,210,360,460,790,1100,1700,2000,2700,3500,3600
