Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,120.0,116.95128645000003,12.899082999999978,237.47399999999973,245.0,0.13372159840469006,0.0,120,160,170,190,210,240,240,240,240,240,240
POST,harvest_auto,345,0,6600.0,6773.647031968116,2112.5009999999997,11229.118916000005,656.2231884057971,1.153348786240452,0.0,6600,7400,7800,8000,8800,9400,9800,10000,11000,11000,11000
GET,recipes_search,1131,0,970.0,1189.758235164455,1.9488339999997883,8989.729499999996,2.0,3.7809781948926116,0.0,970,1400,1700,1900,2500,3000,4000,4300,7700,9000,9000
GET,recommendations_make_now,351,0,1200.0,1351.8347337293442,2.7716670000188515,5657.932791999997,2.0,1.1734070260011553,0.0,1200,1600,1900,2200,2700,3200,3900,4600,5700,5700,5700
POST,studio_create_constraint,705,0,560.0,1054.659461926241,3.5405840000066746,8265.320166999998,241.0,2.3568431718826623,0.0,560,1200,1600,2000,2900,3500,4600,5200,8300,8300,8300
POST,studio_create_session,705,0,1700.0,1875.3693967702147,3.9027919999998772,7685.908499999997,112.0,2.3568431718826623,0.0,1700,2400,2700,3000,3700,4200,5200,6200,7700,7700,7700
POST,studio_generate,704,0,220.0,756.5441176534081,4.945290999984309,5565.087750000003,549.0,2.3535001319225453,0.0,220,700,1100,1500,2400,3000,3800,4500,5600,5600,5600
GET,studio_summary,388,0,2000.0,2112.177529541237,183.23370800000305,5873.572332999998,152.0,1.2970995045254936,0.0,2100,2500,2800,3000,3400,3700,4500,5000,5900,5900,5900
GET,studio_versions,704,0,14,336.63684687357994,2.616666999998074,3935.992292000009,551.0,2.3535001319225453,0.0,14,99,360,550,1100,1800,2800,3200,3900,3900,3900
,Aggregated,5073,0,930.0,1540.8025741902227,1.9488339999997883,11229.118916000005,260.47742952887836,16.959241717674818,0.0,930,1700,2200,2500,3700,6000,7600,8600,9900,11000,11000
