Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,130.0,168.04042814999997,9.697166000000035,429.7903339999998,245.0,0.13376458761804347,0.0,130,190,190,310,400,430,430,430,430,430,430
POST,harvest_auto,371,0,6500.0,6530.898985716984,2043.927333,11587.803457999997,656.0,1.240666550157353,0.0,6500,7200,7700,8000,8800,9700,10000,11000,12000,12000,12000
GET,recipes_search,1158,0,850.0,1151.1188656390323,1.9662499999810734,8579.152124999979,2.0,3.8724848115423582,0.0,850,1300,1700,1900,2700,3600,4100,4400,4600,8600,8600
GET,recommendations_make_now,359,0,1000.0,1284.2837071838426,4.15158399999882,4909.353250000009,2.0,1.2005371738719401,0.0,1000,1500,1900,2200,2800,3600,4300,4300,4900,4900,4900
POST,studio_create_constraint,818,0,340.0,748.3943717958444,3.157832999988841,9467.903207999996,241.0,2.735485816788989,0.0,340,710,990,1300,1900,2900,4200,4900,9500,9500,9500
POST,studio_create_session,821,1,1500.0,1727.2710688282561,2.9099160000214397,8931.019417000016,111.86358099878197,2.745518160860342,0.0033441146904510865,1500,2100,2500,2800,3700,4500,5000,5400,8900,8900,8900
POST,studio_generate,816,0,41,448.66701537867715,4.095958000000621,5614.42916599998,549.0,2.7287975874080868,0.0,42,160,390,660,1400,2500,3100,4800,5600,5600,5600
GET,studio_summary,365,0,1800.0,2069.71080469041,151.5206249999892,8549.762958000003,152.0,1.2206018620146466,0.0,1800,2300,2700,2900,3800,4300,5000,5900,8500,8500,8500
GET,studio_versions,816,0,10,194.0014394411757,2.3271660000006023,4833.662833000006,551.0,2.7287975874080868,0.0,10,18,76,110,660,1300,2300,2400,4800,4800,4800
,Aggregated,5564,1,620.0,1354.0396629399684,1.9662499999810734,11587.803457999997,269.2789360172538,18.606654137669846,0.0033441146904510865,620,1300,1900,2300,3800,5600,7500,8400,11000,12000,12000
