Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,280.0,268.535727075,232.8212919999997,294.72587500000014,245.0,0.2227968634934685,0.0,280,290,290,290,290,290,290,290,290,290,290
POST,harvest_auto,600,0,5,10.736119421666933,2.311666999986528,385.76341699999995,375.0,3.3419529524020275,0.0,5,6,7,8,12,22,77,210,390,390,390
GET,recipes_search,1851,0,8,12.558655284170863,3.852209000001494,355.43187500000073,27283.0,10.309924858160256,0.0,8,9,11,12,17,24,80,110,330,360,360
GET,recommendations_make_now,617,0,5,13.189067930307703,1.6159170000094036,226.90699999999708,2.0,3.436641619386752,0.0,5,8,10,11,21,80,100,140,230,230,230
POST,studio_create_constraint,1264,0,5,7.234874243671037,2.299958000008928,230.65454100000693,241.0,7.040380886393605,0.0,5,6,7,7,11,15,29,61,150,230,230
POST,studio_create_session,1264,0,6,10.581058427215371,2.3784580000096867,356.6314999999989,112.0,7.040380886393605,0.0,6,7,8,9,14,27,67,100,350,360,360
POST,studio_generate,1264,0,18,21.18012555458885,10.605041999980358,205.37220900000364,549.0,7.040380886393605,0.0,18,20,22,23,28,36,55,82,160,210,210
GET,studio_summary,626,0,34,40.29151307827461,4.263874999999473,440.0942910000012,145.0079872204473,3.4867709136727822,0.0,34,39,42,44,54,76,120,150,440,440,440
GET,studio_versions,1264,0,12,13.344619620253408,6.711124999981166,242.8848340000087,551.0,7.040380886393605,0.0,12,13,14,14,17,20,30,44,230,240,240
,Aggregated,8790,0,9,15.921266275768074,1.6159170000094036,440.0942910000012,5991.380432309443,48.959610752689706,0.0,9,13,16,18,29,41,87,160,290,440,440
