Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,340.0,353.9767146,302.30708400000003,413.6473340000002,245.0,0.2229115702531354,0.0,350,380,390,400,410,410,410,410,410,410,410
POST,harvest_auto,596,0,5,25.539416523490015,2.2235829999885937,717.3931659999937,375.0,3.3213823967717175,0.0,5,7,9,10,50,120,300,480,720,720,720
GET,recipes_search,1783,0,8,28.398798620863687,3.981541999991123,1394.9762080000028,27283.0,9.936283244033511,0.0,8,10,13,15,58,140,260,330,960,1400,1400
GET,recommendations_make_now,605,0,5,23.021135804958583,1.611957999998026,725.3982080000014,2.0,3.371537500078673,0.0,5,10,11,14,69,110,220,290,730,730,730
POST,studio_create_constraint,1303,0,5,8.33801258940916,2.3543750000101227,463.7947080000231,241.0,7.261344400995886,0.0,5,6,7,8,11,15,27,42,450,460,460
POST,studio_create_session,1303,0,6,24.660009467382938,2.2264170000028116,1331.3126670000202,112.0,7.261344400995886,0.0,6,7,9,11,57,140,250,290,680,1300,1300
POST,studio_generate,1303,0,18,21.429285565617995,10.64283300000568,343.54145899999367,549.0,7.261344400995886,0.0,18,20,22,23,27,33,52,110,280,340,340
GET,studio_summary,612,0,36,56.1618443692811,4.691416000000004,1451.5083340000103,145.08823529411765,3.410547024872972,0.0,36,42,47,51,91,180,290,330,1500,1500,1500
GET,studio_versions,1303,0,12,13.84661338449718,6.367750000009664,335.05375000000015,551.0,7.261344400995886,0.0,12,13,14,14,16,18,32,100,330,340,340
,Aggregated,8848,0,10,24.55643916828661,1.611957999998026,1451.5083340000103,5748.434900542496,49.308039339993556,0.0,10,14,17,21,39,95,230,330,660,1500,1500
