Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,240.0,247.01791659999998,226.38804199999996,301.47241700000006,245.0,0.1337180914211496,0.0,240,250,250,260,300,300,300,300,300,300,300
POST,harvest_auto,1034,0,5,7.209014804641723,1.9916250000022728,439.43649999999934,375.0,3.4566126632367173,0.0,5,6,6,7,9,11,23,44,380,440,440
GET,recipes_search,3108,0,7,9.851254747104235,3.952958999995815,202.23000000000013,27283.0,10.389895703423324,0.0,7,9,9,10,13,16,44,78,160,200,200
GET,recommendations_make_now,1037,0,5,10.442896493731771,1.6555830000015703,215.3758749999999,2.0,3.4666415200933036,0.0,5,7,9,10,15,35,96,110,180,220,220
POST,studio_create_constraint,2107,0,5,5.312042198386243,2.100957999999764,110.28779100000463,241.0,7.043600465609056,0.0,5,5,6,6,8,10,12,15,66,110,110
POST,studio_create_session,2107,0,5,7.5756090626482155,2.2029999999979566,229.30375000000058,112.0,7.043600465609056,0.0,5,6,7,8,10,13,26,74,120,230,230
POST,studio_generate,2106,0,18,18.421058733143454,10.031875000002799,244.50666599999948,549.0,7.040257513323526,0.0,18,19,20,21,23,25,29,33,140,240,240
GET,studio_summary,1080,0,30,32.18446222499959,3.3939590000002795,210.04345899999953,145.40555555555557,3.610388468371039,0.0,30,34,36,38,43,49,58,81,190,210,210
GET,studio_versions,2106,0,11,11.525573325736007,6.411417000002473,107.46154200001001,551.0,7.040257513323526,0.0,11,12,13,13,14,15,17,19,87,110,110
,Aggregated,14725,0,8,12.479655613989648,1.6555830000015703,439.43649999999934,6004.251069609508,49.2249724044107,0.0,8,12,14,16,23,31,45,77,250,380,440
