Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,210.0,209.68397179999997,174.20750000000007,226.648167,245.0,0.22277136139291567,0.0,210,220,220,220,230,230,230,230,230,230,230
POST,harvest_auto,594,0,5,8.579265205387783,1.7963750000014045,535.364291,375.0,3.3081547166847978,0.0,5,6,8,8,10,13,24,74,540,540,540
GET,recipes_search,1878,0,8,10.385959283280357,3.4414579999975103,112.9503340000042,27283.0,10.45911541739739,0.0,8,10,12,13,16,19,24,58,110,110,110
GET,recommendations_make_now,614,0,5,9.987906602605886,1.498832999999422,145.33083400000012,2.0,3.4195403973812555,0.0,5,9,11,12,18,27,79,86,150,150,150
POST,studio_create_constraint,1254,0,5,5.60008610685799,2.066415999998128,100.75708299999997,241.0,6.983882179667906,0.0,5,6,6,7,8,10,14,16,96,100,100
POST,studio_create_session,1254,0,6,8.202577641945625,2.0561659999991377,201.80158299999994,112.0,6.983882179667906,0.0,6,7,9,10,12,16,25,53,200,200,200
POST,studio_generate,1254,0,8,8.64701224322178,3.5822920000008196,86.61949999999763,549.0,6.983882179667906,0.0,8,9,10,11,13,15,17,22,62,87,87
GET,studio_summary,614,0,12,13.686078563517912,2.7887500000005616,128.68108299999957,145.07654723127035,3.4195403973812555,0.0,12,14,16,18,22,25,29,62,130,130,130
GET,studio_versions,1254,0,4,4.741439702552089,2.0821249999976033,180.19666600000005,551.0,6.983882179667906,0.0,4,5,5,6,7,8,9,10,19,180,180
,Aggregated,8756,0,6,9.321809035061795,1.498832999999422,535.364291,6096.664116034719,48.76465100890924,0.0,6,8,10,11,14,18,26,73,220,540,540
