Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,240.0,246.24899277500003,223.80391700000013,287.6013749999995,245.0,0.13380076713132277,0.0,240,250,250,290,290,290,290,290,290,290,290
POST,harvest_auto,1029,0,5,8.812415212828396,2.056583000001666,483.33095800001047,375.0,3.442024734453278,0.0,5,6,7,8,10,13,23,83,440,480,480
GET,recipes_search,3150,0,8,10.922191778412603,3.7363339999956224,237.30304200000774,27283.0,10.536810411591668,0.0,8,10,11,12,15,20,37,84,170,240,240
GET,recommendations_make_now,1026,0,5,10.981556369396097,1.5368329999887465,223.28383299998222,2.0,3.431989676918429,0.0,5,8,11,12,17,29,88,100,190,220,220
POST,studio_create_constraint,2100,0,5,6.310248037142819,2.075582999999881,189.49574999999186,241.0,7.024540274394446,0.0,5,6,7,8,9,12,18,23,64,190,190
POST,studio_create_session,2100,0,6,8.686569223333034,2.5399999999997647,244.24700000000144,112.0,7.024540274394446,0.0,6,7,8,9,12,17,37,71,210,240,240
POST,studio_generate,2100,0,13,14.713477149999804,6.219542000000189,260.181082999992,549.0,7.024540274394446,0.0,13,15,16,17,20,23,29,38,120,260,260
GET,studio_summary,1034,0,21,24.36913555512636,3.245666999999841,169.94437500000004,145.47775628626692,3.4587498303446935,0.0,21,24,27,28,34,41,62,81,160,170,170
GET,studio_versions,2100,0,8,8.884909950952148,3.3978750000045466,88.51691699999265,551.0,7.024540274394446,0.0,8,9,10,11,12,14,17,21,44,89,89
,Aggregated,14679,0,8,11.63822680189389,1.5368329999887465,483.33095800001047,6099.931943592887,49.10153651801718,0.0,8,10,12,14,19,25,39,81,250,440,480
