Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,290.0,298.30080417499994,272.7457499999999,325.2034589999999,245.0,0.13368556757234004,0.0,290,320,320,320,320,320,330,330,330,330,330
POST,harvest_auto,1119,0,7,8.494172967827863,2.3657079999992447,349.058541,375.0,3.739853752836213,0.0,7,9,10,11,13,16,20,26,210,350,350
GET,recipes_search,3149,0,9,11.437499625595297,4.3690419999791175,314.21587499999947,22881.0,10.52439630713247,0.0,9,12,14,15,18,21,25,37,100,310,310
GET,recommendations_make_now,1085,0,7,9.510115361289953,1.9367080000023407,250.98816700000003,2.0,3.626221020399724,0.0,7,8,9,11,17,22,45,84,130,250,250
POST,studio_create_constraint,2009,0,5,6.433406426082792,2.730874999997468,83.56445800000012,241.0,6.714357631320779,0.0,5,7,8,9,10,12,15,17,32,84,84
POST,studio_create_session,2009,0,7,9.072334154803274,2.710084000000279,236.67595899999984,112.0,6.714357631320779,0.0,7,9,11,12,14,18,23,33,110,240,240
POST,studio_generate,2009,0,6,6.526595969138872,3.5217920000008007,78.57533399999284,549.0,6.714357631320779,0.0,6,7,7,8,9,11,13,14,25,79,79
GET,studio_summary,1029,0,9,11.180792688046596,3.311500000000578,193.86070799999987,145.42857142857142,3.4390612257984476,0.0,9,12,15,16,19,22,25,30,93,190,190
GET,studio_versions,2009,0,4,4.102691739671795,2.1695840000006683,61.47341699999487,551.0,6.714357631320779,0.0,4,4,5,5,6,6,7,8,23,61,61
,Aggregated,14458,0,6,9.114848576289894,1.9367080000023407,349.058541,5225.65963480426,48.32064839902231,0.0,6,8,10,11,15,18,23,32,320,330,350
