Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,310.0,320.613556175,281.764417,365.49929199999997,245.0,0.1780517661233212,0.0,310,340,350,350,360,360,370,370,370,370,370
POST,harvest_auto,790,0,6,9.709850211392233,2.3387909999996737,437.69462500000003,375.0,3.516522380935594,0.0,6,7,8,9,12,16,61,90,440,440,440
GET,recipes_search,2311,0,9,13.55034804110779,3.776916000006736,332.14104199999997,27283.0,10.286940787774883,0.0,9,10,12,13,17,27,84,110,290,330,330
GET,recommendations_make_now,764,0,6,12.652692801046866,1.6392910000035954,289.6071250000034,2.0,3.400788732955435,0.0,6,9,11,13,20,37,100,140,290,290,290
POST,studio_create_constraint,1555,0,6,8.207116275240844,2.4693750000039927,346.7746250000001,241.0,6.921762408044112,0.0,6,7,8,8,11,14,22,83,180,350,350
POST,studio_create_session,1555,0,6,10.279455266237832,2.6425830000107453,258.4092499999997,112.0,6.921762408044112,0.0,6,8,9,10,13,21,69,100,210,260,260
POST,studio_generate,1555,0,15,17.78259999807123,8.289832999992086,313.86199999999985,549.0,6.921762408044112,0.0,15,17,19,20,23,27,43,79,240,310,310
GET,studio_summary,810,0,26,31.04553991604922,4.650790999999543,344.02045800000013,145.3037037037037,3.6055482639972545,0.0,26,29,33,35,44,55,89,120,340,340,340
GET,studio_versions,1555,0,10,10.829666725401838,5.113999999991847,334.6877500000005,551.0,6.921762408044112,0.0,10,10,11,12,14,16,23,38,130,330,330
,Aggregated,10935,0,9,14.61933391595788,1.6392910000035954,437.69462500000003,6011.495381801555,48.67490156396293,0.0,9,12,14,16,23,33,78,120,350,370,440
