Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771025881,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771025882,8,,Aggregated,0.000000,0.000000,41,44,280,280,280,290,440,440,440,440,440,31,0,41,105.16178770967745,8.031041000000073,437.69462500000003,3799.9032258064517
1771025883,16,,Aggregated,0.000000,0.000000,39,46,280,290,300,310,310,440,440,440,440,55,0,39,112.68344625454553,5.166000000000004,437.69462500000003,5690.418181818181
1771025884,24,,Aggregated,0.000000,0.000000,28,150,280,300,310,310,310,440,440,440,440,89,0,28,116.44792182022469,3.139624999999757,437.69462500000003,6047.7191011235955
1771025885,32,,Aggregated,15.500000,0.000000,35,170,280,300,310,340,350,350,440,440,440,140,0,34,117.26438301428568,3.139624999999757,437.69462500000003,5499.178571428572
1771025886,40,,Aggregated,18.333333,0.000000,39,140,280,300,330,350,360,370,440,440,440,200,0,38,115.72420912999996,3.139624999999757,437.69462500000003,5289.005
1771025887,40,,Aggregated,22.250000,0.000000,22,48,180,280,310,350,360,360,440,440,440,241,0,22,97.74755078838169,3.117207999999927,437.69462500000003,5006.078838174274
1771025888,40,,Aggregated,28.000000,0.000000,19,40,120,190,310,350,360,360,440,440,440,288,0,18,83.77409720486108,3.0362080000001512,437.69462500000003,5271.378472222223
1771025889,40,,Aggregated,33.500000,0.000000,15,25,43,120,310,340,350,360,440,440,440,347,0,15,71.36442338904895,3.0362080000001512,437.69462500000003,5208.051873198848
1771025890,40,,Aggregated,35.285714,0.000000,14,23,41,80,300,330,350,360,440,440,440,392,0,14,64.9060462295918,2.3387909999996737,437.69462500000003,5469.775510204082
1771025891,40,,Aggregated,36.250000,0.000000,13,19,34,42,280,310,350,360,440,440,440,456,0,12,57.12325675657894,2.3387909999996737,437.69462500000003,5161.6359649122805
1771025892,40,,Aggregated,39.222222,0.000000,12,19,29,41,280,310,350,360,440,440,440,488,0,12,54.15162499180325,2.3387909999996737,437.69462500000003,5449.993852459016
1771025893,40,,Aggregated,39.700000,0.000000,12,17,24,39,210,310,350,360,440,440,440,534,0,12,50.3856711048689,2.3387909999996737,437.69462500000003,5408.2659176029965
1771025894,40,,Aggregated,45.900000,0.000000,11,17,23,35,190,310,350,360,440,440,440,577,0,11,47.475865310225316,2.3387909999996737,437.69462500000003,5451.504332755632
1771025895,40,,Aggregated,45.800000,0.000000,11,16,21,30,170,310,350,350,440,440,440,642,0,11,44.214844742990664,2.3387909999996737,437.69462500000003,5392.71339563863
1771025896,40,,Aggregated,48.000000,0.000000,11,16,21,25,120,310,350,350,440,440,440,694,0,11,41.72223521613836,2.3387909999996737,437.69462500000003,5286.9207492795385
1771025897,40,,Aggregated,49.400000,0.000000,10,15,19,24,97,300,340,350,440,440,440,756,0,10,39.02297474603176,2.3387909999996737,437.69462500000003,5237.798941798942
1771025898,40,,Aggregated,50.900000,0.000000,10,14,19,22,64,300,340,350,440,440,440,816,0,10,36.964105118872546,2.3387909999996737,437.69462500000003,5239.848039215686
1771025899,40,,Aggregated,49.300000,0.000000,10,14,18,21,50,280,340,350,440,440,440,877,0,10,35.123267800456105,2.3387909999996737,437.69462500000003,5204.944127708096
1771025900,40,,Aggregated,51.200000,0.000000,10,14,18,21,44,280,340,350,440,440,440,928,0,10,33.71834908081896,2.3387909999996737,437.69462500000003,5198.133620689655
1771025901,40,,Aggregated,53.200000,0.000000,10,14,18,21,43,280,330,350,440,440,440,976,0,10,33.04887361782786,2.3387909999996737,437.69462500000003,5315.138319672131
1771025902,40,,Aggregated,53.200000,0.000000,10,14,17,20,41,250,330,350,370,440,440,1035,0,10,31.76540727729469,2.3387909999996737,437.69462500000003,5395.561352657005
1771025903,40,,Aggregated,53.600000,0.000000,10,14,17,20,41,210,320,350,370,440,440,1079,0,10,30.952663339202964,2.3387909999996737,437.69462500000003,5263.227062094532
1771025904,40,,Aggregated,51.700000,0.000000,10,13,17,19,40,190,310,350,370,440,440,1136,0,10,29.919013526408442,2.3387909999996737,437.69462500000003,5323.419894366197
1771025905,40,,Aggregated,54.800000,0.000000,10,13,17,19,39,180,310,350,370,440,440,1179,0,10,29.212597635284137,2.3387909999996737,437.69462500000003,5438.413061916879
1771025906,40,,Aggregated,54.400000,0.000000,10,13,16,19,37,180,310,350,370,440,440,1227,0,10,28.48175117603913,2.3387909999996737,437.69462500000003,5458.074164629177
1771025907,40,,Aggregated,55.400000,0.000000,10,13,16,19,35,170,310,350,370,440,440,1277,0,10,27.8008734228661,2.3387909999996737,437.69462500000003,5426.054032889585
1771025908,40,,Aggregated,53.500000,0.000000,10,13,16,19,34,140,310,350,370,440,440,1331,0,10,27.144006749060885,2.3387909999996737,437.69462500000003,5421.907588279489
1771025909,40,,Aggregated,53.500000,0.000000,10,13,16,18,32,120,310,350,370,440,440,1388,0,10,26.4333671520173,2.3387909999996737,437.69462500000003,5369.151296829971
1771025910,40,,Aggregated,51.800000,0.000000,10,13,16,18,32,120,310,350,370,440,440,1457,0,10,25.758873411118753,2.3387909999996737,437.69462500000003,5445.606039807824
1771025911,40,,Aggregated,51.400000,0.000000,10,13,16,18,31,99,310,340,370,440,440,1502,0,10,25.340834593874845,2.3387909999996737,437.69462500000003,5506.52862849534
1771025912,40,,Aggregated,51.400000,0.000000,10,13,16,18,30,97,310,340,370,440,440,1550,0,10,24.922222943871002,2.3387909999996737,437.69462500000003,5520.134838709678
1771025913,40,,Aggregated,52.600000,0.000000,10,13,16,18,29,93,310,340,370,440,440,1597,0,10,24.529993049467773,2.3387909999996737,437.69462500000003,5535.917971195992
1771025914,40,,Aggregated,52.700000,0.000000,10,13,16,18,28,89,310,340,370,440,440,1656,0,10,24.158399193236733,2.3387909999996737,437.69462500000003,5496.795893719806
1771025915,40,,Aggregated,51.900000,0.000000,10,13,16,18,28,84,310,340,370,440,440,1711,0,10,23.70980302805378,2.3387909999996737,437.69462500000003,5519.244886031561
1771025916,40,,Aggregated,52.100000,0.000000,10,12,15,18,27,77,300,340,370,440,440,1753,0,10,23.394692446092407,2.3387909999996737,437.69462500000003,5640.811751283514
1771025917,40,,Aggregated,52.200000,0.000000,10,12,15,17,27,64,300,340,370,440,440,1816,0,10,22.978823642070484,2.3387909999996737,437.69462500000003,5708.841960352423
1771025918,40,,Aggregated,53.100000,0.000000,10,12,15,17,26,59,300,340,370,440,440,1852,0,10,22.772784705183593,2.3387909999996737,437.69462500000003,5778.377969762419
1771025919,40,,Aggregated,52.900000,0.000000,10,12,15,17,25,55,300,330,370,440,440,1917,0,10,22.34069789254046,2.3387909999996737,437.69462500000003,5748.278038601982
1771025920,40,,Aggregated,54.000000,0.000000,10,12,15,17,25,58,300,330,370,440,440,1972,0,10,22.1858598635903,2.3387909999996737,437.69462500000003,5720.182048681541
1771025921,40,,Aggregated,52.800000,0.000000,10,12,15,17,25,51,300,330,360,440,440,2008,0,10,21.991180188247032,1.8079170000007139,437.69462500000003,5796.771414342629
1771025922,40,,Aggregated,51.800000,0.000000,10,12,15,17,25,48,290,330,360,440,440,2053,0,10,21.744867281539253,1.8079170000007139,437.69462500000003,5820.856794934242
1771025923,40,,Aggregated,51.500000,0.000000,10,12,15,17,25,46,290,320,360,440,440,2114,0,10,21.405481879848693,1.8079170000007139,437.69462500000003,5777.3779564806055
1771025924,40,,Aggregated,50.500000,0.000000,9,12,15,17,24,44,280,320,360,440,440,2174,0,9,21.04601243146281,1.8079170000007139,437.69462500000003,5738.61867525299
1771025925,40,,Aggregated,49.700000,0.000000,9,12,15,17,24,43,280,310,360,440,440,2241,0,9,20.672196724676574,1.8079170000007139,437.69462500000003,5733.410531012941
1771025926,40,,Aggregated,51.700000,0.000000,9,12,15,17,24,44,280,310,360,440,440,2293,0,9,20.608585469254336,1.8079170000007139,437.69462500000003,5728.286960313999
1771025927,40,,Aggregated,51.900000,0.000000,9,12,15,17,24,43,280,310,360,440,440,2353,0,9,20.316220101572554,1.8079170000007139,437.69462500000003,5727.5461113472165
1771025928,40,,Aggregated,52.800000,0.000000,9,12,15,17,24,43,280,310,360,440,440,2398,0,9,20.149340326939214,1.8079170000007139,437.69462500000003,5839.371976647206
1771025929,40,,Aggregated,53.800000,0.000000,9,12,15,17,24,42,280,310,360,440,440,2432,0,9,20.033674093750093,1.8079170000007139,437.69462500000003,5828.4469572368425
1771025930,40,,Aggregated,53.600000,0.000000,9,12,14,16,24,41,280,310,360,440,440,2495,0,9,19.74787784609228,1.8079170000007139,437.69462500000003,5851.636873747495
1771025931,40,,Aggregated,53.400000,0.000000,9,12,14,16,24,41,250,310,360,440,440,2554,0,9,19.486071953406523,1.8079170000007139,437.69462500000003,5840.1769772905245
1771025932,40,,Aggregated,51.700000,0.000000,9,12,14,16,24,41,250,310,360,440,440,2592,0,9,19.357177314814937,1.8079170000007139,437.69462500000003,5904.676311728395
1771025933,40,,Aggregated,52.100000,0.000000,9,12,14,16,24,40,210,310,360,440,440,2653,0,9,19.156945885412885,1.8079170000007139,437.69462500000003,5898.438371654731
1771025934,40,,Aggregated,54.700000,0.000000,9,12,14,16,23,40,210,310,360,440,440,2683,0,9,19.07373217927708,1.8079170000007139,437.69462500000003,5956.370108087961
1771025935,40,,Aggregated,53.900000,0.000000,9,12,14,16,24,41,210,310,360,440,440,2736,0,9,19.130881023757468,1.8079170000007139,437.69462500000003,5975.337353801169
1771025936,40,,Aggregated,53.600000,0.000000,9,12,14,16,23,40,210,310,360,440,440,2799,0,9,18.939091052876183,1.8079170000007139,437.69462500000003,5973.6591639871385
1771025938,40,,Aggregated,50.500000,0.000000,9,12,14,16,24,40,190,310,360,440,440,2841,0,9,18.850833033439088,1.8079170000007139,437.69462500000003,5965.8658922914465
1771025939,40,,Aggregated,49.300000,0.000000,9,12,14,16,23,40,190,310,360,440,440,2877,0,9,18.74671003719167,1.8079170000007139,437.69462500000003,5979.59645464025
1771025940,40,,Aggregated,50.300000,0.000000,9,12,14,16,23,40,180,310,360,440,440,2923,0,9,18.625530328771976,1.8079170000007139,437.69462500000003,5963.466985973315
1771025941,40,,Aggregated,48.800000,0.000000,9,12,14,16,23,40,180,310,360,440,440,2975,0,9,18.479517936134613,1.8079170000007139,437.69462500000003,5964.410084033613
1771025942,40,,Aggregated,47.900000,0.000000,9,12,14,16,23,40,180,310,360,440,440,3030,0,9,18.39160533036318,1.8079170000007139,437.69462500000003,5950.875577557756
1771025943,40,,Aggregated,48.900000,0.000000,9,12,14,16,23,39,180,310,360,440,440,3072,0,9,18.297239061523562,1.8079170000007139,437.69462500000003,5952.6708984375
1771025944,40,,Aggregated,48.000000,0.000000,9,12,14,16,23,39,180,310,360,440,440,3131,0,9,18.149333861066868,1.8079170000007139,437.69462500000003,5941.2529543276905
1771025945,40,,Aggregated,47.500000,0.000000,9,12,14,16,23,38,170,310,360,440,440,3190,0,9,17.98407168934181,1.8079170000007139,437.69462500000003,5963.883699059561
1771025946,40,,Aggregated,48.000000,0.000000,9,12,14,16,23,37,170,310,360,440,440,3237,0,9,17.87377921346937,1.8079170000007139,437.69462500000003,5973.7296879827
1771025947,40,,Aggregated,50.700000,0.000000,9,12,14,16,23,36,150,310,360,440,440,3284,0,9,17.775761250609133,1.8079170000007139,437.69462500000003,5974.887332521315
1771025948,40,,Aggregated,50.100000,0.000000,9,12,14,16,23,38,140,310,360,440,440,3339,0,9,17.825650442947104,1.8079170000007139,437.69462500000003,5938.251272836179
1771025949,40,,Aggregated,47.900000,0.000000,9,12,14,16,23,38,140,310,360,440,440,3379,0,9,17.77064940189415,1.8079170000007139,437.69462500000003,5943.2447469665585
1771025950,40,,Aggregated,47.900000,0.000000,9,12,14,16,23,39,130,310,360,440,440,3417,0,9,17.839332418788505,1.8079170000007139,437.69462500000003,5951.490781387181
1771025951,40,,Aggregated,49.900000,0.000000,9,12,14,16,23,39,120,310,360,440,440,3469,0,9,17.733691182761717,1.8079170000007139,437.69462500000003,5960.142692418564
1771025952,40,,Aggregated,49.400000,0.000000,9,12,14,16,23,39,120,300,360,440,440,3516,0,9,17.633874656143476,1.8079170000007139,437.69462500000003,5930.472980659841
1771025953,40,,Aggregated,49.400000,0.000000,9,12,14,16,23,38,120,300,360,440,440,3551,0,9,17.567808528865253,1.8079170000007139,437.69462500000003,5950.760912419037
1771025954,40,,Aggregated,48.300000,0.000000,9,12,14,16,23,37,120,300,360,440,440,3613,0,9,17.439544643786462,1.8079170000007139,437.69462500000003,5928.695820647661
1771025955,40,,Aggregated,47.900000,0.000000,9,12,14,16,23,37,110,300,360,440,440,3656,0,9,17.3740040804159,1.8079170000007139,437.69462500000003,5943.852024070022
1771025956,40,,Aggregated,47.500000,0.000000,9,12,14,16,23,36,110,300,360,440,440,3698,0,9,17.325146611952537,1.8079170000007139,437.69462500000003,5974.7836668469445
1771025957,40,,Aggregated,46.300000,0.000000,9,12,14,16,23,36,110,300,360,440,440,3748,0,9,17.244582223586054,1.8079170000007139,437.69462500000003,5942.087780149413
1771025958,40,,Aggregated,45.900000,0.000000,9,12,14,16,23,35,110,300,360,440,440,3800,0,9,17.143890068158036,1.8079170000007139,437.69462500000003,5964.343421052631
1771025959,40,,Aggregated,45.900000,0.000000,9,12,14,16,23,35,110,300,360,440,440,3848,0,9,17.050835881237152,1.8079170000007139,437.69462500000003,5978.183471933472
1771025960,40,,Aggregated,45.900000,0.000000,9,12,14,16,23,35,110,300,360,440,440,3906,0,9,17.046816801331396,1.8079170000007139,437.69462500000003,6004.047875064004
1771025961,40,,Aggregated,47.200000,0.000000,9,12,14,16,23,35,110,300,360,440,440,3964,0,9,16.966346961150457,1.8079170000007139,437.69462500000003,6009.508324924319
1771025962,40,,Aggregated,48.500000,0.000000,9,12,14,16,23,35,100,300,360,440,440,4016,0,9,16.870701532370624,1.8079170000007139,437.69462500000003,5962.532619521912
1771025963,40,,Aggregated,48.800000,0.000000,9,12,14,16,23,34,100,300,360,440,440,4082,0,9,16.764020726604706,1.8079170000007139,437.69462500000003,5923.8784909358155
1771025964,40,,Aggregated,50.200000,0.000000,9,12,14,16,23,34,100,290,360,440,440,4128,0,9,16.70266709714157,1.8079170000007139,437.69462500000003,5919.96875
1771025965,40,,Aggregated,52.700000,0.000000,9,12,14,16,23,34,100,290,360,440,440,4170,0,9,16.666942772422164,1.8079170000007139,437.69462500000003,5941.022302158273
1771025966,40,,Aggregated,52.000000,0.000000,9,12,14,16,23,34,100,290,360,440,440,4215,0,9,16.60549120830378,1.8079170000007139,437.69462500000003,5951.291577698695
1771025967,40,,Aggregated,51.500000,0.000000,9,12,14,16,23,34,99,290,360,440,440,4256,0,9,16.569827406954975,1.8079170000007139,437.69462500000003,5960.359492481203
1771025968,40,,Aggregated,51.700000,0.000000,9,12,14,16,23,33,98,280,360,440,440,4308,0,9,16.4921072291087,1.8079170000007139,437.69462500000003,5967.323816155988
