Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,300.0,314.12847185,281.04545800000034,368.5607919999998,245.0,0.14823592246034853,0.0,300,330,330,360,360,370,370,370,370,370,370
POST,harvest_auto,971,0,6,8.527520716786581,2.3735839999972086,426.3226249999832,375.0,3.5984270177249607,0.0,6,7,8,8,11,18,40,70,430,430,430
GET,recipes_search,2731,0,9,12.05218871951661,4.075124999985746,358.05462500000027,27283.0,10.120807605980296,0.0,9,10,12,13,17,24,53,86,250,360,360
GET,recommendations_make_now,927,0,6,12.25729405070157,1.5675000000072714,169.52362500000007,2.0,3.4353675030185773,0.0,6,9,11,12,19,42,100,120,170,170,170
POST,studio_create_constraint,1886,0,5,6.693614587486719,2.3874999999975444,120.0291659999948,241.0,6.989323744005433,0.0,5,6,7,8,10,14,21,26,120,120,120
POST,studio_create_session,1886,0,6,9.338802449098473,2.6091249999922184,289.41716699999984,112.0,6.989323744005433,0.0,6,8,9,10,13,19,42,81,210,290,290
POST,studio_generate,1885,0,13,14.654695186207105,7.009124999996175,97.5962079999988,549.0,6.985617845943924,0.0,13,15,16,17,20,24,31,43,94,98,98
GET,studio_summary,914,0,21,24.877482271334852,3.859666000000317,177.54708300003585,145.33369803063457,3.387190828218964,0.0,21,25,27,29,36,46,65,97,180,180,180
GET,studio_versions,1885,0,8,9.550372862069056,4.0296669999975165,352.3287909999997,551.0,6.985617845943924,0.0,8,9,10,10,13,15,21,27,290,350,350
,Aggregated,13125,0,8,12.474217985981053,1.5675000000072714,426.3226249999832,5924.399619047619,48.63991205730186,0.0,8,11,13,14,20,26,49,90,330,370,430
