Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,260.0,263.1278031,242.08445900000004,279.4889169999997,245.0,0.33514428842589195,0.0,270,270,270,270,280,280,280,280,280,280,280
POST,harvest_auto,429,0,6,9.728638594405123,2.8090829999953826,435.89979200000005,375.0,3.5944224933676914,0.0,6,7,9,10,12,16,48,89,440,440,440
GET,recipes_search,1217,0,10,12.161128403451096,4.086791000005974,259.2856659999998,27283.0,10.196764975357762,0.0,10,11,12,13,17,21,32,84,250,260,260
GET,recommendations_make_now,410,0,6,11.148224685366102,2.0623749999941765,131.19479099999998,2.0,3.4352289563653926,0.0,6,9,11,12,17,27,94,98,130,130,130
POST,studio_create_constraint,788,0,6,6.6224731725888235,2.766624999992473,118.64654099999994,241.0,6.602342481990072,0.0,6,7,7,8,10,12,16,17,120,120,120
POST,studio_create_session,788,0,7,9.547411288071043,3.126082999997948,220.32216699999995,112.0,6.602342481990072,0.0,7,8,9,10,13,17,29,77,220,220,220
POST,studio_generate,788,0,11,12.556674451776601,5.449874999996496,262.4266670000002,549.0,6.602342481990072,0.0,11,13,14,14,16,18,20,22,260,260,260
GET,studio_summary,459,0,15,16.576223779956468,4.571125000000009,209.18970900000033,144.54901960784315,3.8457807096871104,0.0,15,17,19,20,25,29,34,41,210,210,210
GET,studio_versions,788,0,7,7.3314095812183435,3.4064160000006893,20.126750000000193,551.0,6.602342481990072,0.0,7,8,8,9,10,11,13,14,20,20,20
,Aggregated,5707,0,8,12.281711820045539,2.0623749999941765,435.89979200000005,6060.315051690906,47.81671135116414,0.0,8,10,12,13,16,20,37,110,280,440,440
