Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,310.0,362.00582195000004,248.52800000000008,621.9968329999998,245.0,0.22286274973611853,0.0,310,330,330,620,620,620,620,620,620,620,620
POST,harvest_auto,627,0,5,7.499161625199241,1.983457999997995,370.4235410000081,375.0,3.493373602113658,0.0,5,6,7,7,9,13,34,51,370,370,370
GET,recipes_search,1838,0,8,11.647585974428765,3.5177080000039496,612.3146249999998,27283.0,10.240543350374647,0.0,8,9,10,11,15,20,51,90,540,610,610
GET,recommendations_make_now,630,0,5,11.400888239682297,1.5555829999982507,571.0476250000003,2.0,3.510088308343867,0.0,5,7,10,11,15,29,94,100,570,570,570
POST,studio_create_constraint,1218,0,5,5.742004378489869,2.214291000001367,42.60262499999978,241.0,6.78617072946481,0.0,5,6,6,7,9,11,16,22,33,43,43
POST,studio_create_session,1218,0,6,8.845304159277395,2.273416999997835,543.8077090000002,112.0,6.78617072946481,0.0,6,7,8,8,10,14,38,76,440,540,540
POST,studio_generate,1218,0,19,19.879266198686224,10.848457999998118,313.0139999999999,549.0,6.78617072946481,0.0,19,20,21,22,25,27,32,47,100,310,310
GET,studio_summary,616,0,34,36.76546823051917,3.5715409999994563,319.5155410000003,145.2159090909091,3.4320863459362254,0.0,34,37,39,41,46,57,82,110,320,320,320
GET,studio_versions,1218,0,12,12.120403250410304,6.829332999998883,53.282417000005466,551.0,6.78617072946481,0.0,12,13,13,14,15,16,18,20,53,53,53
,Aggregated,8623,0,8,14.747013504232873,1.5555829999982507,621.9968329999998,6059.555375159457,48.04363727436375,0.0,8,12,15,18,25,36,52,100,610,620,620
