Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771036542,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771036543,8,,Aggregated,0.000000,0.000000,25,330,330,330,330,330,330,330,330,330,330,21,0,25,139.36368652380955,9.78854200000001,331.20883299999997,276.8095238095238
1771036544,16,,Aggregated,0.000000,0.000000,25,50,250,250,330,330,330,330,330,330,330,52,0,24,104.89692224999999,4.144291000000022,331.20883299999997,783.5576923076923
1771036545,24,,Aggregated,0.000000,0.000000,23,160,290,330,570,620,620,620,620,620,620,95,0,23,156.47862235789478,3.344792000000041,621.9968329999998,3118.684210526316
1771036546,32,,Aggregated,10.500000,0.000000,20,28,250,300,390,620,620,620,620,620,620,144,0,19,123.45740713888897,3.344792000000041,621.9968329999998,3660.902777777778
1771036547,40,,Aggregated,17.333333,0.000000,20,41,250,290,330,540,620,620,620,620,620,207,0,20,109.79406885990346,2.397041000000044,621.9968329999998,3550.3333333333335
1771036548,40,,Aggregated,23.750000,0.000000,15,24,46,250,320,530,620,620,620,620,620,258,0,15,89.92381155038765,2.397041000000044,621.9968329999998,3535.077519379845
1771036549,40,,Aggregated,28.800000,0.000000,13,21,29,50,310,330,620,620,620,620,620,307,0,13,77.34509488599356,2.397041000000044,621.9968329999998,3724.2605863192184
1771036550,40,,Aggregated,34.500000,0.000000,13,20,26,45,300,330,620,620,620,620,620,340,0,13,71.24962440000006,2.397041000000044,621.9968329999998,4503.60294117647
1771036551,40,,Aggregated,37.000000,0.000000,12,19,26,38,300,330,620,620,620,620,620,381,0,12,65.31398021259851,2.397041000000044,621.9968329999998,4899.968503937008
1771036552,40,,Aggregated,39.000000,0.000000,11,18,23,29,280,330,610,620,620,620,620,428,0,11,58.97712842056082,1.8136670000004074,621.9968329999998,5151.939252336449
1771036553,40,,Aggregated,38.111111,0.000000,11,15,22,26,250,320,570,620,620,620,620,478,0,11,53.5787944790796,1.8136670000004074,621.9968329999998,5268.163179916318
1771036554,40,,Aggregated,38.100000,0.000000,10,14,20,24,150,320,540,620,620,620,620,534,0,10,48.95482400187277,1.8136670000004074,621.9968329999998,5507.460674157303
1771036555,40,,Aggregated,43.000000,0.000000,10,14,19,23,83,310,540,620,620,620,620,582,0,10,45.90341003780082,1.8136670000004074,621.9968329999998,5539.29381443299
1771036556,40,,Aggregated,45.800000,0.000000,10,14,19,22,51,310,530,620,620,620,620,642,0,10,42.665988155763365,1.8136670000004074,621.9968329999998,5390.0638629283485
1771036557,40,,Aggregated,48.200000,0.000000,10,13,18,22,49,300,390,620,620,620,620,705,0,10,39.930740164539124,1.8136670000004074,621.9968329999998,5471.953191489361
1771036558,40,,Aggregated,49.400000,0.000000,10,13,18,21,43,300,330,620,620,620,620,753,0,10,38.16041326958841,1.8136670000004074,621.9968329999998,5502.472775564409
1771036559,40,,Aggregated,49.800000,0.000000,10,13,18,21,40,300,330,610,620,620,620,820,0,9,35.911348560975675,1.8136670000004074,621.9968329999998,5474.960975609756
1771036560,40,,Aggregated,50.000000,0.000000,9,13,17,20,39,270,330,610,620,620,620,866,0,9,34.70082393302547,1.8136670000004074,621.9968329999998,5449.45727482679
1771036561,40,,Aggregated,49.500000,0.000000,9,13,16,20,37,250,330,570,620,620,620,922,0,9,33.18570957809116,1.8136670000004074,621.9968329999998,5518.720173535792
1771036562,40,,Aggregated,50.900000,0.000000,9,13,16,20,36,250,330,570,620,620,620,979,0,9,31.924399110316706,1.8136670000004074,621.9968329999998,5464.127681307456
1771036563,40,,Aggregated,52.300000,0.000000,9,13,16,20,35,250,330,540,620,620,620,1016,0,9,31.231540003937045,1.8136670000004074,621.9968329999998,5487.735236220473
1771036564,40,,Aggregated,54.100000,0.000000,9,13,17,20,35,160,330,540,620,620,620,1060,0,9,30.66326578301891,1.8136670000004074,621.9968329999998,5526.808490566038
1771036565,40,,Aggregated,54.900000,0.000000,9,13,16,20,32,110,330,540,620,620,620,1104,0,9,29.867241451992783,1.8136670000004074,621.9968329999998,5537.829710144928
1771036566,40,,Aggregated,53.700000,0.000000,9,13,16,19,29,92,320,540,620,620,620,1173,0,9,28.745617380221642,1.8136670000004074,621.9968329999998,5508.8593350383635
1771036567,40,,Aggregated,52.700000,0.000000,9,13,16,19,29,89,320,530,620,620,620,1216,0,9,28.123141398848695,1.8136670000004074,621.9968329999998,5567.930921052632
1771036568,40,,Aggregated,51.700000,0.000000,9,13,16,19,28,69,320,530,620,620,620,1263,0,9,27.49709849326997,1.8136670000004074,621.9968329999998,5564.916072842439
1771036569,40,,Aggregated,53.100000,0.000000,9,13,16,19,28,69,320,530,620,620,620,1299,0,9,27.123104682832935,1.8136670000004074,621.9968329999998,5689.440338722094
1771036571,40,,Aggregated,50.900000,0.000000,9,13,16,19,28,53,310,440,620,620,620,1362,0,9,26.329438469897205,1.8136670000004074,621.9968329999998,5619.541850220265
