Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,260.0,262.21245717500017,243.63424999999995,278.4630830000001,245.0,0.13369067870258808,0.0,260,270,280,280,280,280,280,280,280,280,280
POST,harvest_auto,1026,0,6,8.926121344054538,1.8010000000003856,589.1191669999998,375.0,3.429165908721384,0.0,6,7,8,8,11,14,22,44,560,590,590
GET,recipes_search,3134,0,9,10.636543733248574,3.5156249999772626,259.81108299999977,22881.0,10.474664676347775,0.0,9,11,12,13,16,20,25,43,140,260,260
GET,recommendations_make_now,1041,0,5,8.74907505091236,1.3367079999966336,254.06420900000003,2.0,3.4792999132348545,0.0,5,7,9,10,15,20,62,78,190,250,250
POST,studio_create_constraint,2125,0,6,6.191894974117473,2.3099160000015218,73.35120800000006,241.0,7.102317306074991,0.0,6,7,7,8,10,12,16,18,25,73,73
POST,studio_create_session,2125,0,7,8.154314702588037,2.2712500000068303,276.0199160000001,112.0,7.102317306074991,0.0,7,8,9,10,13,17,22,27,130,280,280
POST,studio_generate,2125,0,7,7.350189613647161,3.465667000000394,36.9153340000139,549.0,7.102317306074991,0.0,7,8,9,10,11,13,15,17,28,37,37
GET,studio_summary,1062,0,10,11.536898998117325,2.6313749999999914,206.78874999999942,145.41242937853107,3.5494875195537134,0.0,10,12,14,15,18,22,26,31,120,210,210
GET,studio_versions,2125,0,4,4.382540801882371,1.9545829999998432,270.4146250000001,551.0,7.102317306074991,0.0,4,4,5,5,7,8,9,11,20,270,270
,Aggregated,14803,0,6,8.765746700398624,1.3367079999966336,589.1191669999998,5090.031682767007,49.47557792086028,0.0,6,8,9,10,13,17,22,31,280,560,590
