Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771009852,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771009853,8,,Aggregated,0.000000,0.000000,23,26,250,250,250,250,260,260,260,260,260,24,0,23,94.35839933333331,3.6549580000000415,255.06783300000012,3083.7083333333335
1771009854,16,,Aggregated,0.000000,0.000000,23,250,250,260,280,280,280,280,280,280,280,48,0,20,106.47896531250002,3.1539590000000395,278.28904200000017,4499.104166666667
1771009855,24,,Aggregated,22.000000,0.000000,17,26,250,250,280,280,560,590,590,590,590,92,0,17,101.36783783695653,3.0348749999999924,589.1191669999998,4464.847826086957
1771009856,32,,Aggregated,24.000000,0.000000,16,23,240,250,260,280,560,560,590,590,590,147,0,16,88.42586789115651,2.372416000000044,589.1191669999998,5520.142857142857
1771009857,40,,Aggregated,30.000000,0.000000,16,23,180,250,270,280,280,560,590,590,590,206,0,16,82.96534966504858,2.372416000000044,589.1191669999998,5998.97572815534
1771009858,40,,Aggregated,36.250000,0.000000,14,20,72,190,260,280,280,560,590,590,590,247,0,14,71.20764046963565,2.372416000000044,589.1191669999998,5780.813765182186
1771009859,40,,Aggregated,39.800000,0.000000,11,17,23,88,260,280,280,560,590,590,590,298,0,11,60.40697688926177,2.372416000000044,589.1191669999998,5605.412751677853
1771009860,40,,Aggregated,39.666667,0.000000,9,15,18,23,250,270,280,280,590,590,590,366,0,9,50.51340081420766,2.372416000000044,589.1191669999998,5424.806010928962
1771009861,40,,Aggregated,40.857143,0.000000,8,13,17,20,250,270,280,280,590,590,590,416,0,8,45.09064460817309,2.372416000000044,589.1191669999998,5135.026442307692
1771009862,40,,Aggregated,45.375000,0.000000,7,11,15,18,230,260,280,280,590,590,590,476,0,7,39.99168301890757,2.372416000000044,589.1191669999998,4813.813025210084
1771009863,40,,Aggregated,44.888889,0.000000,7,10,15,17,180,260,280,280,590,590,590,507,0,7,37.888637641025625,2.372416000000044,589.1191669999998,4982.175542406311
1771009864,40,,Aggregated,46.700000,0.000000,7,9,13,17,160,260,280,280,590,590,590,549,0,7,35.41074703096539,2.372416000000044,589.1191669999998,5034.657559198543
1771009865,40,,Aggregated,48.300000,0.000000,6,8,12,15,72,260,280,280,590,590,590,612,0,6,32.23496452287584,2.372416000000044,589.1191669999998,4843.856209150327
1771009866,40,,Aggregated,49.600000,0.000000,6,8,11,14,26,250,280,280,590,590,590,659,0,6,30.268824474962088,2.372416000000044,589.1191669999998,4899.0364188163885
1771009867,40,,Aggregated,51.300000,0.000000,6,7,10,13,24,250,280,280,590,590,590,715,0,6,28.285825341258775,2.372416000000044,589.1191669999998,4855.893706293707
1771009868,40,,Aggregated,51.100000,0.000000,6,8,10,13,23,250,270,280,590,590,590,753,0,6,27.317274840637506,2.372416000000044,589.1191669999998,4895.731739707835
1771009869,40,,Aggregated,50.200000,0.000000,6,8,10,12,22,250,270,280,590,590,590,797,0,6,26.209190347553363,2.372416000000044,589.1191669999998,4868.849435382685
1771009870,40,,Aggregated,50.900000,0.000000,6,8,10,12,20,240,270,280,590,590,590,853,0,6,24.9317066248535,1.989166999997849,589.1191669999998,4861.923798358734
1771009871,40,,Aggregated,50.600000,0.000000,6,8,10,12,19,240,270,280,590,590,590,902,0,6,23.96550383037699,1.989166999997849,589.1191669999998,4764.784922394679
1771009872,40,,Aggregated,47.300000,0.000000,6,8,10,12,19,240,270,280,590,590,590,933,0,6,23.465873073955027,1.989166999997849,589.1191669999998,5027.457663451232
1771009873,40,,Aggregated,47.800000,0.000000,6,8,10,12,18,210,270,280,590,590,590,976,0,6,22.697952820696752,1.989166999997849,589.1191669999998,4935.1557377049185
1771009874,40,,Aggregated,46.100000,0.000000,6,8,10,12,18,180,270,280,560,590,590,1010,0,6,22.19432346336635,1.989166999997849,589.1191669999998,5024.454455445544
