Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,460.0,498.93260097500007,283.13237499999985,798.127541,245.0,0.2228414653756651,0.0,460,460,480,480,800,800,800,800,800,800,800
POST,harvest_auto,615,0,7,20.425778029268436,2.428750000007085,735.2704999999844,375.0,3.426187530150851,0.0,7,9,10,11,17,59,190,320,740,740,740
GET,recipes_search,1808,0,11,18.82986967422513,4.396708000001581,602.9984159999913,22881.0,10.072434234980063,0.0,11,13,15,16,23,42,130,180,600,600,600
GET,recommendations_make_now,625,0,7,16.005559664000412,2.2417919999995206,547.5508749999847,2.0,3.4818978964947673,0.0,7,10,11,14,25,50,110,150,550,550,550
POST,studio_create_constraint,1300,0,8,13.041588717692282,3.0835839999951986,225.28137500000867,241.0,7.242347624709116,0.0,8,10,11,12,19,38,95,140,180,230,230
POST,studio_create_session,1300,0,8,18.55357186307717,3.227457999997796,609.0421670000126,112.0,7.242347624709116,0.0,8,10,12,13,21,59,150,290,580,610,610
POST,studio_generate,1300,0,9,14.839985096153837,3.2607089999885375,823.3105839999837,549.0,7.242347624709116,0.0,9,11,13,15,21,38,86,150,280,820,820
GET,studio_summary,600,0,10,27.1432962466669,2.9207919999993948,755.2887090000127,145.07,3.3426219806349766,0.0,10,13,15,17,25,92,330,560,760,760,760
GET,studio_versions,1300,0,6,9.133678076923134,2.010416999979725,317.1449169999998,551.0,7.242347624709116,0.0,6,7,8,9,13,25,44,80,310,320,320
,Aggregated,8888,0,8,18.574762074257475,2.010416999979725,823.3105839999837,4903.967709270927,49.515373606472785,0.0,8,11,13,14,21,45,140,300,740,820,820
