Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,4,0,100.52774999999991,115.75324999999998,100.52774999999991,133.68362499999998,245.0,0.13747671245190538,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,harvest_auto,8,0,9,9.241318000000277,4.601917000002231,14.480417000001466,375.0,0.27495342490381075,0.0,11,11,11,11,14,14,14,14,14,14,14
GET,recipes_search,39,0,14,15.141237256410571,8.14812499999995,23.999834000001385,27283.0,1.3403979464060776,0.0,14,16,18,19,20,21,24,24,24,24,24
GET,recommendations_make_now,11,0,7,9.48193181818204,4.045291000000617,23.696125000000734,2.0,0.3780609592427398,0.0,7,10,13,13,19,24,24,24,24,24,24
POST,studio_create_constraint,21,0,9,8.420648761904546,3.7531659999991973,13.47437500000015,241.0,0.7217527403725033,0.0,9,9,9,9,11,13,13,13,13,13,13
POST,studio_create_session,21,0,11,10.632855285714543,4.756207999999873,14.822834000000285,112.0,0.7217527403725033,0.0,11,12,13,13,13,14,15,15,15,15,15
POST,studio_generate,21,0,24,21.375900761904866,10.795250000001033,27.821583999998012,549.0,0.7217527403725033,0.0,24,24,25,25,26,26,28,28,28,28,28
GET,studio_summary,5,0,37,29.19400020000031,4.915167000000054,50.75295800000035,143.0,0.17184589056488173,0.0,37,42,42,51,51,51,51,51,51,51,51
GET,studio_versions,21,0,13,12.68294642857168,7.679459,15.859458000001325,551.0,0.7217527403725033,0.0,13,14,14,15,15,16,16,16,16,16,16
,Aggregated,151,0,13,16.510479629139244,3.7531659999991973,133.68362499999998,7279.913907284768,5.189745895059429,0.0,13,14,17,19,24,28,100,130,130,130,130
