Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,270.0,261.28995625000005,199.35354100000023,307.14345899999995,245.0,0.1338189381434792,0.0,270,290,290,310,310,310,310,310,310,310,310
POST,harvest_auto,1036,0,5,7.542702803088522,2.2915000000125474,450.7312499999998,375.0,3.465910497916111,0.0,5,7,7,8,10,13,16,52,160,450,450
GET,recipes_search,3057,0,8,11.367572158979446,4.151000000035765,350.071832999987,27283.0,10.227112347615396,0.0,8,10,11,12,15,19,40,91,270,350,350
GET,recommendations_make_now,1046,0,5,11.762056321224078,1.7402919999653932,227.1495829999992,2.0,3.499365232451981,0.0,5,9,10,11,18,31,110,130,180,230,230
POST,studio_create_constraint,2155,0,5,6.414156399536137,2.3970829999910848,137.47570799999664,241.0,7.209495292479941,0.0,5,6,7,8,9,11,15,21,120,140,140
POST,studio_create_session,2155,0,6,8.682038056148478,2.6241660000039246,224.08516699999836,112.0,7.209495292479941,0.0,6,7,8,9,12,16,27,67,210,220,220
POST,studio_generate,2155,0,15,16.645705700696045,7.005999999989854,130.4944169999942,549.0,7.209495292479941,0.0,15,17,18,20,23,26,30,36,100,130,130
GET,studio_summary,1064,0,25,28.631749444548795,4.497832999999396,270.4379590000201,145.50093984962405,3.5595837546165465,0.0,25,28,31,33,38,46,61,110,270,270,270
GET,studio_versions,2155,0,10,10.467982940603404,4.814582999983941,266.7022499999998,551.0,7.209495292479941,0.0,10,11,11,12,13,15,17,20,57,270,270
,Aggregated,14863,0,9,12.564495514970057,1.7402919999653932,450.7312499999998,5859.5539931373205,49.723771940663276,0.0,9,11,13,15,21,27,41,91,290,350,450
