Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,340.0,319.4392208000001,277.46087500000004,343.22279199999997,245.0,0.13379147937114144,0.0,340,340,340,340,340,340,340,340,340,340,340
POST,harvest_auto,1030,0,6,8.799918661165272,2.571583000019473,611.8251660000001,375.0,3.4451305938068923,0.0,6,7,8,9,12,15,33,68,280,610,610
GET,recipes_search,3113,0,9,11.985567443302228,3.866582999989987,187.24341599999983,27283.0,10.412321882059082,0.0,9,11,12,14,17,22,44,83,170,190,190
GET,recommendations_make_now,1084,0,6,11.960806150368542,1.8354170000094427,210.13850000000022,2.0,3.625749090957933,0.0,6,8,11,13,19,34,100,110,190,210,210
POST,studio_create_constraint,2066,0,6,6.648873993707672,2.3227920000010727,101.24341599998843,241.0,6.910329909519455,0.0,6,7,7,8,10,12,16,19,98,100,100
POST,studio_create_session,2066,0,7,8.846053179574064,2.1092080000073565,267.20083299998976,112.0,6.910329909519455,0.0,7,8,9,10,13,16,31,64,160,270,270
POST,studio_generate,2066,0,10,10.795925877056817,4.4777089999854525,150.8518339999938,549.0,6.910329909519455,0.0,10,11,12,13,15,17,21,27,100,150,150
GET,studio_summary,1067,0,13,15.845813473290091,3.6040829999999247,284.966625,145.4236176194939,3.568887712225198,0.0,13,15,18,19,23,27,42,73,220,280,280
GET,studio_versions,2066,0,6,6.48650985430776,2.4228329999971265,33.70079200000475,551.0,6.910329909519455,0.0,6,7,7,8,9,10,12,15,29,34,34
,Aggregated,14598,0,8,10.737332861213806,1.8354170000094427,611.8251660000001,6061.601726263872,48.82720039649807,0.0,8,9,11,12,15,20,32,83,340,340,610
