Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,310.0,304.2247208499999,290.293166,326.7399580000001,245.0,0.13373763386022577,0.0,310,310,310,310,310,320,330,330,330,330,330
POST,harvest_auto,1026,0,7,9.455227442494973,2.8273750000096243,502.54895899999997,375.0,3.430370308514791,0.0,7,7,8,9,12,14,23,69,430,500,500
GET,recipes_search,3139,0,9,11.424429772538991,3.9022079999995185,271.8567919999999,22881.0,10.495060817181217,0.0,9,11,12,13,17,20,25,37,190,270,270
GET,recommendations_make_now,992,0,6,9.43732552217785,2.1405829999991965,99.83991599999342,2.0,3.3166933197335995,0.0,6,8,10,11,14,21,56,93,100,100,100
POST,studio_create_constraint,2141,0,6,6.911240064456017,2.67720799999438,91.95524999999805,241.0,7.158306852368585,0.0,6,7,8,9,11,12,15,17,32,92,92
POST,studio_create_session,2141,0,7,9.23410682811795,2.9638750000060554,245.39370799999995,112.0,7.158306852368585,0.0,7,9,10,11,14,17,25,37,130,250,250
POST,studio_generate,2141,0,9,9.261559318542872,4.0482919999931255,91.05108299999642,549.0,7.158306852368585,0.0,9,10,11,11,13,14,16,18,44,91,91
GET,studio_summary,1003,0,11,13.20076998205412,3.2082500000001346,218.7484580000003,145.34795613160517,3.3534711690451613,0.0,11,13,14,15,20,25,29,68,100,220,220
GET,studio_versions,2141,0,6,5.881881611863333,2.6441669999996975,84.71654199999534,551.0,7.158306852368585,0.0,6,6,7,7,8,9,11,11,26,85,85
,Aggregated,14764,0,8,9.978517419737303,2.1405829999991965,502.54895899999997,5112.2087510159845,49.36256065780933,0.0,8,9,10,11,14,17,24,40,310,430,500
