Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,150.0,158.80682392500006,29.11975,749.967584,245.0,0.22339922967392686,0.0,150,180,220,230,290,580,750,750,750,750,750
POST,harvest_auto,352,0,150.0,265.0075503096593,6.9469170000004965,2601.201042000014,375.0,1.9659132211305563,0.0,150,270,330,390,630,930,1200,1500,2600,2600,2600
GET,recipes_search,1135,0,170.0,272.8837598255507,9.345082999999477,3926.8982080000114,4879.0,6.338953141997674,0.0,170,280,360,410,640,900,1100,1400,2400,3900,3900
GET,recommendations_make_now,379,0,3300.0,3311.8611416015838,179.1763330000009,9862.257499999998,2.0,2.1167077011604567,0.0,3300,4100,4600,5000,5900,6700,9000,9700,9900,9900,9900
POST,studio_create_constraint,785,0,140.0,275.8413798535034,8.197249999994938,2751.7124999999965,241.0,4.384209882350814,0.0,140,300,400,460,680,860,1200,1600,2800,2800,2800
POST,studio_create_session,786,0,200.0,319.7587077061068,6.865957999998784,3928.4399169999915,112.0,4.389794863092662,0.0,200,330,430,480,730,1100,1400,1600,3900,3900,3900
POST,studio_generate,780,0,150.0,270.4602290679489,9.591166999996403,2916.5331670000114,549.0,4.356284978641574,0.0,150,270,400,460,640,860,1100,1300,2900,2900,2900
GET,studio_summary,373,0,570.0,747.8935991018761,79.36208299999991,4162.7824169999885,152.0,2.083197816709368,0.0,570,760,930,1100,1500,1800,2600,3000,4200,4200,4200
GET,studio_versions,779,0,85,160.3817252143773,6.391209000000231,1604.7925830000054,551.0,4.350699997899725,0.0,85,130,170,280,420,520,750,870,1600,1600,1600
,Aggregated,5409,0,180.0,507.90901335866147,6.391209000000231,9862.257499999998,1270.3984100573118,30.209160832656757,0.0,180,350,470,570,1000,2300,4300,5400,9400,9900,9900
