Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770666490,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770666491,8,,Aggregated,0.000000,0.000000,220,290,350,520,580,750,750,750,750,750,750,17,0,220.0,268.1938725294117,23.733457999999928,749.967584,1079.6470588235295
1770666492,16,,Aggregated,0.000000,0.000000,52,210,230,240,500,580,750,1000,1000,1000,1000,52,0,47,159.20660974999996,7.587416999999874,1023.758167,1085.6923076923076
1770666493,24,,Aggregated,14.000000,0.000000,88,180,220,240,500,620,810,1000,1000,1000,1000,88,0,79,162.30160934090907,7.587416999999874,1023.758167,1065.3181818181818
1770666494,32,,Aggregated,23.000000,0.000000,93,160,210,230,290,550,750,810,1000,1000,1000,146,0,88,149.674981760274,6.391209000000231,1023.758167,959.7945205479452
1770666495,40,,Aggregated,27.333333,0.000000,63,140,180,210,270,500,740,810,1000,1000,1000,191,0,63,129.0794960890052,6.391209000000231,1023.758167,1046.8638743455497
1770666496,40,,Aggregated,34.750000,0.000000,79,150,200,220,300,500,650,750,1000,1000,1000,217,0,79,139.26246908755763,6.391209000000231,1023.758167,1123.9078341013824
1770666497,40,,Aggregated,37.200000,0.000000,99,190,230,270,410,570,740,810,2300,2300,2300,243,0,99,171.9394286748972,6.391209000000231,2346.9355000000005,1163.0576131687242
1770666498,40,,Aggregated,35.333333,0.000000,110,210,260,310,550,670,810,1000,2300,2300,2300,258,0,110.0,200.3906837945737,6.391209000000231,2346.9355000000005,1169.0232558139535
1770666499,40,,Aggregated,33.714286,0.000000,120,220,290,350,560,720,980,1000,2300,2300,2300,293,0,120.0,218.01763751535836,6.391209000000231,2346.9355000000005,1198.1194539249148
1770666500,40,,Aggregated,31.500000,0.000000,140,230,290,360,610,810,3200,4100,4300,4300,4300,321,0,140.0,295.5891073426791,6.391209000000231,4292.464542,1185.2772585669782
1770666501,40,,Aggregated,32.222222,0.000000,110,210,280,330,620,890,3200,4100,4300,4300,4300,365,0,110.0,296.04632043287666,6.391209000000231,4292.464542,1216.304109589041
1770666502,40,,Aggregated,30.800000,0.000000,120,220,290,370,600,810,3100,4100,4300,4300,4300,425,0,120.0,291.7616186141176,6.391209000000231,4292.464542,1217.924705882353
1770666503,40,,Aggregated,34.700000,0.000000,110,210,280,330,600,890,2600,4100,4300,4300,4300,470,0,110.0,285.45222871489364,6.391209000000231,4292.464542,1182.1744680851064
1770666504,40,,Aggregated,35.000000,0.000000,110,200,270,320,580,810,2300,3400,4300,4300,4300,503,0,110.0,274.80571984095434,6.391209000000231,4292.464542,1189.4592445328033
1770666505,40,,Aggregated,37.500000,0.000000,100,180,250,310,580,870,1900,3400,4300,4300,4300,560,0,100,261.2422110142856,6.391209000000231,4292.464542,1206.0071428571428
1770666506,40,,Aggregated,36.300000,0.000000,91,170,230,290,570,810,1900,3200,4300,4300,4300,607,0,91,246.21219899835228,6.391209000000231,4292.464542,1236.5617792421747
1770666507,40,,Aggregated,36.300000,0.000000,85,150,230,280,560,780,1900,3200,4300,4300,4300,648,0,83,236.59433320524664,6.391209000000231,4292.464542,1248.2422839506173
1770666508,40,,Aggregated,38.200000,0.000000,81,150,220,270,550,750,1800,3200,4300,4300,4300,677,0,81,229.90310967060537,6.391209000000231,4292.464542,1268.3884785819794
1770666509,40,,Aggregated,40.900000,0.000000,81,140,220,260,530,750,1600,3200,4300,4300,4300,715,0,81,224.2015278503494,6.391209000000231,4292.464542,1282.302097902098
1770666510,40,,Aggregated,41.900000,0.000000,79,140,220,260,540,780,1600,3200,4300,4300,4300,764,0,79,225.96265684554962,6.391209000000231,4292.464542,1255.8769633507854
1770666511,40,,Aggregated,42.100000,0.000000,76,140,210,250,530,780,1500,3100,4300,4300,4300,808,0,76,220.13548117698008,6.391209000000231,4292.464542,1262.2017326732673
1770666512,40,,Aggregated,44.600000,0.000000,73,130,200,240,520,780,1500,3100,4300,4300,4300,858,0,73,212.86766078904418,6.391209000000231,4292.464542,1282.013986013986
1770666513,40,,Aggregated,43.900000,0.000000,74,130,200,240,510,780,1500,3100,4300,4300,4300,895,0,74,210.5231502748603,6.391209000000231,4292.464542,1275.9374301675978
1770666514,40,,Aggregated,44.600000,0.000000,78,130,200,240,510,780,1500,2600,4300,4300,4300,949,0,78,211.45978402212847,6.391209000000231,4292.464542,1276.1085353003161
1770666515,40,,Aggregated,42.000000,0.000000,74,120,200,240,500,780,1500,2600,4300,4300,4300,978,0,74,206.50932808793456,6.391209000000231,4292.464542,1285.6094069529652
1770666516,40,,Aggregated,43.100000,0.000000,76,130,200,240,500,780,1500,2300,4200,4300,4300,1013,0,76,208.1737448529121,6.391209000000231,4292.464542,1278.913129318855
1770666517,40,,Aggregated,41.800000,0.000000,77,140,210,250,500,780,1500,2300,4200,4300,4300,1048,0,77,208.0599856068702,6.391209000000231,4292.464542,1294.324427480916
1770666518,40,,Aggregated,41.100000,0.000000,74,130,200,240,480,780,1500,2300,4200,4300,4300,1092,0,74,203.96280913644688,6.391209000000231,4292.464542,1302.142857142857
1770666519,40,,Aggregated,39.600000,0.000000,74,130,200,240,470,750,1500,1900,4200,4300,4300,1140,0,73,201.44023676578942,6.391209000000231,4292.464542,1297.001754385965
