Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,25,27.925482300000038,19.37358300000014,44.87341599999994,245.0,0.22268160852658603,0.0,25,27,29,40,43,44,45,45,45,45,45
POST,harvest_auto,616,76,11,22.41416720454506,3.3697920000008708,668.0029169999955,328.73376623376623,3.4292967713094247,0.42309505620051346,11,13,16,17,30,60,130,230,670,670,670
GET,recipes_search,1807,0,14,21.12199317321531,4.428292000000056,483.13204199999404,4879.0,10.059641665188524,0.0,14,17,19,20,28,46,90,180,430,480,480
GET,recommendations_make_now,640,0,8,13.257866870312318,3.3280420000210142,270.9706250000039,2.0,3.5629057364253764,0.0,8,10,11,13,21,37,69,130,270,270,270
POST,studio_create_constraint,1253,0,13,17.606324830806244,3.9653749999786214,367.21562500000005,241.0,6.975501387095307,0.0,13,16,18,20,28,38,57,84,350,370,370
POST,studio_create_session,1253,0,12,19.129341355147567,4.139999999978272,404.97049999999035,112.0,6.975501387095307,0.0,12,15,18,20,27,40,97,190,380,400,400
POST,studio_generate,1253,0,17,20.262299113328012,5.15366700000186,221.37600000000646,549.0,6.975501387095307,0.0,17,20,23,24,31,38,54,69,130,220,220
GET,studio_summary,599,0,22,30.84209573288788,6.813916999988123,424.75512499999013,152.0,3.334657087685626,0.0,22,25,27,30,39,58,210,270,420,420,420
GET,studio_versions,1253,0,11,13.353649380686335,3.3656250000149157,362.2166669999842,551.0,6.975501387095307,0.0,11,13,14,16,21,28,36,46,360,360,360
,Aggregated,8714,76,14,19.30245711372502,3.3280420000210142,668.0029169999955,1255.6334633922424,48.51118841751676,0.42309505620051346,14,17,19,21,29,40,73,130,420,670,670
