Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,16,46.289574050000034,8.36666700000066,205.38683400000002,245.0,0.2227137481583873,0.0,16,21,24,150,170,190,210,210,210,210,210
POST,harvest_auto,584,44,7,11.740720816780614,2.1845410000054244,538.010334,346.74657534246575,3.2516207231124548,0.24498512297422603,7,8,10,11,16,24,49,130,540,540,540
GET,recipes_search,1906,0,9,12.95560850944395,2.9877909999953545,275.1934160000076,4879.0,10.612310099747155,0.0,9,11,13,14,18,24,48,98,260,280,280
GET,recommendations_make_now,632,0,6,7.567777813291683,1.6684169999976461,196.11008299999355,2.0,3.5188772209025196,0.0,6,7,7,8,12,19,30,37,200,200,200
POST,studio_create_constraint,1228,0,8,9.709234986156181,2.7429579999989073,170.06895800000166,241.0,6.837312068462491,0.0,8,10,11,12,16,20,29,42,120,170,170
POST,studio_create_session,1228,0,8,10.861008002443,2.6288329999992754,245.38074999999537,112.0,6.837312068462491,0.0,8,10,11,12,17,22,48,75,210,250,250
POST,studio_generate,1228,0,10,11.558480988599204,3.4661670000026845,112.71533299998282,549.0,6.837312068462491,0.0,10,12,13,15,19,25,36,44,100,110,110
GET,studio_summary,632,0,13,16.8743254082279,4.110374999996225,222.46341700000016,152.0,3.5188772209025196,0.0,13,16,17,19,26,33,73,93,220,220,220
GET,studio_versions,1228,0,6,7.4733822231273805,2.0377499999995052,261.31616700000393,551.0,6.837312068462491,0.0,6,8,9,10,12,17,23,28,65,260,260
,Aggregated,8706,44,8,11.196915849758842,1.6684169999976461,538.010334,1308.670572019297,48.473647286673,0.24498512297422603,8,10,12,13,17,24,38,68,230,540,540
