Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,630.0,649.0027782249999,345.2068749999999,1429.0895830000002,245.0,0.22266817721970947,0.0,630,650,680,730,870,1200,1400,1400,1400,1400,1400
POST,harvest_auto,644,0,8,15.464715784161433,4.370082999997749,1200.8458750000002,375.0,3.584957653237322,0.0,8,10,11,12,18,25,75,180,1200,1200,1200
GET,recipes_search,1841,0,11,18.037768821292904,3.9026249999949414,527.3073339999996,4879.0,10.248302856537128,0.0,11,13,14,16,21,35,120,200,510,530,530
GET,recommendations_make_now,609,0,8,23.23644801477851,2.7690000000006876,528.0865000000001,2.0,3.3901229981700767,0.0,8,16,20,22,32,110,190,350,530,530,530
POST,studio_create_constraint,1197,0,10,13.886297069339802,3.838332999990257,556.4032500000001,241.0,6.663345203299806,0.0,10,12,14,15,19,25,43,66,420,560,560
POST,studio_create_session,1197,0,10,16.788683385965236,3.324792000000798,578.2181660000001,112.0,6.663345203299806,0.0,10,12,13,15,21,42,120,160,440,580,580
POST,studio_generate,1197,0,14,16.557567456975512,6.120124999995369,454.8160000000001,549.0,6.663345203299806,0.0,14,16,17,18,23,28,41,60,310,450,450
GET,studio_summary,606,0,18,27.025639361386144,4.798832999999725,700.8198329999997,144.95049504950495,3.3734228848785985,0.0,18,20,22,24,32,53,130,260,700,700,700
GET,studio_versions,1197,0,9,10.406270757727475,3.604207999998721,231.8283750000063,551.0,6.663345203299806,0.0,9,10,11,12,15,20,25,32,160,230,230
,Aggregated,8528,0,11,19.775928791744885,2.7690000000006876,1429.0895830000002,1297.1198405253283,47.472855383242056,0.0,11,13,15,17,22,34,120,230,730,1400,1400
