Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token,40,0,150.0,163.62583957500001,20.708708000000353,370.52462499999984,245.0,0.13394905020895065,0.0,150,160,290,300,340,370,370,370,370,370,370
POST,harvest_auto,496,0,240.0,486.10445602620973,6.473832999999374,5170.255416000004,375.0,1.6609682225909879,0.0,240,430,610,780,1200,1700,2700,3700,5200,5200,5200
GET,recipes_search,1498,0,280.0,516.3661092630169,8.037958000002732,4635.0079170000245,4879.0,5.016391930325201,0.0,280,490,650,800,1300,1800,2600,3200,4600,4600,4600
GET,recommendations_make_now,516,0,3300.0,4571.184776556198,290.3125830000022,18003.569207999986,2.0,1.7279427476954632,0.0,3300,5400,6500,7100,9700,11000,13000,15000,18000,18000,18000
POST,studio_create_constraint,1007,0,260.0,576.2223959066528,8.06666700000136,6532.016457999987,241.0,3.3721673390103324,0.0,260,470,670,870,1500,2300,3400,4300,6400,6500,6500
POST,studio_create_session,1008,0,360.0,794.0564078650797,5.801916999999435,8176.121499999994,112.0,3.3755160652655563,0.0,360,750,1100,1300,2200,2900,4100,4600,7300,8200,8200
POST,studio_generate,1007,0,290.0,624.2700246117174,9.14774999999679,7484.885416999987,549.0,3.3721673390103324,0.0,290,540,760,1000,1600,2300,3000,4000,6900,7500,7500
GET,studio_summary,532,0,520.0,857.7987435770675,22.99129199999994,5511.398249999985,149.64473684210526,1.7815223677790435,0.0,530,930,1100,1300,2000,2600,3400,4200,5500,5500,5500
GET,studio_versions,1007,0,150.0,332.69377362462774,5.675042000000019,4613.664124999986,551.0,3.3721673390103324,0.0,150,250,370,490,860,1300,1900,2400,3300,4600,4600
,Aggregated,7111,0,310.0,869.1572083200665,5.675042000000019,18003.569207999986,1272.4606946983547,23.8127924008962,0.0,310,610,930,1200,2200,3300,6400,8400,13000,18000,18000
