Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,870.0,1073.4874479249997,644.697667,2132.044625,245.0,0.13372035311404296,0.0,880,1300,1500,1500,1700,1700,2100,2100,2100,2100,2100
POST,harvest_auto,1032,0,8,14.397191361434675,3.2871660000068914,711.8798750000002,375.0,3.449985110342308,0.0,8,9,10,11,16,25,78,110,630,710,710
GET,recipes_search,3127,0,10,18.288777179085756,3.7330000000110886,1628.9525829999998,4879.0,10.453588604690308,0.0,10,12,13,15,19,32,100,140,1500,1600,1600
GET,recommendations_make_now,1043,0,7,21.58994867977021,2.266791000010926,1324.9605830000003,2.0,3.48675820744867,0.0,7,12,18,20,27,94,140,190,1200,1300,1300
POST,studio_create_constraint,2036,0,9,15.293406296659557,3.124708999990844,1927.875666,241.0,6.806365973504787,0.0,9,11,12,14,17,22,35,72,1700,1900,1900
POST,studio_create_session,2036,0,9,16.686468664047407,3.597165999991603,1309.4239160000002,112.0,6.806365973504787,0.0,9,11,12,13,18,33,87,140,1200,1300,1300
POST,studio_generate,2036,0,13,16.96339994106071,5.339875000004213,790.1414170000005,549.0,6.806365973504787,0.0,13,15,16,17,22,26,41,67,590,790,790
GET,studio_summary,1085,0,16,24.074427078341394,4.616124999998306,1239.981167,145.42488479262673,3.627164578218415,0.0,16,19,21,22,27,41,130,160,1000,1200,1200
GET,studio_versions,2035,0,8,10.84751604668308,3.131707999983746,717.1922080000002,551.0,6.803022964676935,0.0,8,9,10,11,14,17,28,40,640,720,720
,Aggregated,14470,0,10,19.720019236281992,2.266791000010926,2132.044625,1297.2399447131997,48.37333773900504,0.0,10,13,14,16,21,29,92,150,1500,1900,2100
