Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770667637,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770667638,8,,Aggregated,0.000000,0.000000,730,730,730,730,730,730,730,730,730,730,730,8,0,730.0,730.49321375,726.971042,732.5964170000001,245.0
1770667639,16,,Aggregated,0.000000,0.000000,730,730,730,810,1000,1000,1000,1000,1000,1000,1000,15,0,730.0,683.8428028666665,364.6174580000001,1007.9824589999997,503.6
1770667640,24,,Aggregated,0.000000,0.000000,730,1000,1200,1500,1700,1700,1700,1700,1700,1700,1700,22,0,730.0,944.397541681818,364.6174580000001,1694.940916,421.3181818181818
1770667641,32,,Aggregated,5.500000,0.000000,1000,1300,1500,1500,1700,1700,1900,2100,2100,2100,2100,57,0,1000.0,1060.983186385965,97.11945899999996,2132.044625,877.5263157894736
1770667642,40,,Aggregated,5.000000,0.000000,670,860,1200,1300,1500,1700,1700,1900,2100,2100,2100,114,0,670.0,730.9900833070178,7.22316600000017,2132.044625,1038.3947368421052
1770667643,40,,Aggregated,6.000000,0.000000,380,680,850,1000,1500,1600,1700,1900,2100,2100,2100,157,0,380.0,537.6571828280256,5.293291000000089,2132.044625,1296.71974522293
1770667644,40,,Aggregated,13.200000,0.000000,69,590,730,860,1400,1500,1700,1900,2100,2100,2100,195,0,69,435.415312353846,5.258249999999798,2132.044625,1407.0974358974358
1770667645,40,,Aggregated,20.000000,0.000000,27,190,640,720,1200,1500,1700,1700,2100,2100,2100,258,0,27,334.83121170155033,4.982875000000497,2132.044625,1282.8837209302326
1770667646,40,,Aggregated,22.428571,0.000000,22,82,400,650,1200,1500,1700,1700,2100,2100,2100,310,0,21,282.68349944516115,4.982875000000497,2132.044625,1269.116129032258
1770667647,40,,Aggregated,25.125000,0.000000,18,47,180,550,890,1500,1600,1700,2100,2100,2100,353,0,18,250.06515626062304,4.21566600000034,2132.044625,1280.2067988668555
1770667648,40,,Aggregated,29.333333,0.000000,15,30,100,370,840,1400,1500,1700,2100,2100,2100,403,0,15,220.41272062282857,4.21566600000034,2132.044625,1249.7940446650125
1770667649,40,,Aggregated,31.200000,0.000000,13,22,52,120,730,1300,1500,1700,2100,2100,2100,466,0,13,192.00952770386232,4.21566600000034,2132.044625,1191.6845493562232
1770667650,40,,Aggregated,35.400000,0.000000,13,20,40,100,720,1200,1500,1700,2100,2100,2100,515,0,13,175.63538574174726,4.21566600000034,2132.044625,1238.5009708737864
