Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,290.0,290.39985512500004,270.152375,313.073208,245.0,0.13381070303171239,0.0,290,300,300,300,310,310,310,310,310,310,310
POST,harvest_auto,1048,0,6,9.32388223377888,2.374083999995946,429.35091700002204,375.0,3.5058404194308643,0.0,6,6,7,8,10,15,54,110,370,430,430
GET,recipes_search,3130,0,9,11.268428613099196,4.296334000002844,294.9031249999998,27283.0,10.470687512231494,0.0,9,10,11,12,15,20,38,83,190,290,290
GET,recommendations_make_now,1043,0,5,11.13337368839944,1.8940829999962716,251.66820900000087,2.0,3.4891140815519006,0.0,5,8,11,12,17,28,95,110,210,250,250
POST,studio_create_constraint,2093,0,5,6.301922600095312,2.5610000000000355,116.3811660000107,241.0,7.0016450361343505,0.0,5,6,7,8,10,12,15,18,71,120,120
POST,studio_create_session,2093,0,6,8.232707710463208,2.7406250000012733,338.52299999999946,112.0,7.0016450361343505,0.0,6,7,8,9,11,15,27,62,190,340,340
POST,studio_generate,2093,0,14,15.377233347826248,7.4002919999998085,221.7210830000056,549.0,7.0016450361343505,0.0,14,15,16,17,19,22,26,34,110,220,220
GET,studio_summary,1037,0,24,28.422122178399604,5.886832999999925,319.76008400000035,145.44455159112826,3.4690424760971434,0.0,24,27,30,32,38,47,80,120,230,320,320
GET,studio_versions,2093,0,9,9.486882289058755,3.543833999998469,96.83250000000143,551.0,7.0016450361343505,0.0,9,10,10,11,12,13,16,19,48,97,97
,Aggregated,14670,0,9,12.283914728630034,1.8940829999962716,429.35091700002204,6066.300681663259,49.075075336880516,0.0,9,11,13,14,20,26,42,86,300,370,430
