Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,400.0,403.9827135,360.60574999999994,454.79929100000004,245.0,0.13379275479462,0.0,400,410,430,440,440,450,450,450,450,450,450
POST,harvest_auto,990,0,6,8.362290192929589,2.559583000000032,392.07216600000015,375.0,3.311370681166845,0.0,6,7,8,9,12,14,31,54,390,390,390
GET,recipes_search,3120,0,9,11.859165790064282,4.370292000004383,372.2446670000004,27283.0,10.43583487398036,0.0,9,10,12,13,16,22,46,81,250,370,370
GET,recommendations_make_now,1018,0,6,11.525583170922978,1.835541999998469,277.1447079999998,2.0,3.405025609523079,0.0,6,9,11,12,18,29,95,110,250,280,280
POST,studio_create_constraint,2138,0,5,6.69613377502325,2.5287500000104046,219.02012500001433,241.0,7.151222743772438,0.0,5,6,7,8,10,12,17,24,140,220,220
POST,studio_create_session,2138,0,6,9.02710153367584,2.9049590000340686,333.5311250000004,112.0,7.151222743772438,0.0,6,8,9,9,12,17,34,61,270,330,330
POST,studio_generate,2138,0,12,12.86408505144986,5.804459000003703,238.91870799999992,549.0,7.151222743772438,0.0,12,13,14,15,17,19,25,31,110,240,240
GET,studio_summary,1051,0,17,19.36631828163672,3.2810830000000735,248.65358300000028,145.40057088487154,3.5154046322286403,0.0,17,19,22,23,29,34,41,72,150,250,250
GET,studio_versions,2138,0,7,8.006533304490002,3.1691249999994398,95.27758299999789,551.0,7.151222743772438,0.0,7,8,9,9,11,12,14,17,93,95,95
,Aggregated,14771,0,8,11.628412186920233,1.835541999998469,454.79929100000004,6009.435786338095,49.40631952678329,0.0,8,10,12,13,16,21,35,81,410,450,450
